"atc"	"n"
"L04AX03"	"40365"
"L04AX01"	"17652"
"L01BC02"	"2532"
"L04AD01"	"2192"
"L01AA02"	"1061"
"L01AA01"	"545"
"L01XX05"	"527"
"L01BA01"	"458"
"L01BC52"	"441"
"L04AA06"	"366"
"L04AK01"	"362"
"L04AA13"	"327"
"L04AB04"	"129"
"L01AA03"	"123"
"L04AX02"	"82"
"L01XD03"	"67"
"L04AB01"	"41"
"L01"	"34"
"L04AD02"	"26"
"L04AC05"	"17"
"L04AA21"	"16"
"L04AG02"	"16"
"L04AX04"	"8"
"L01EA01"	"4"
"L04AX06"	"4"
"L01EA02"	"3"
"L01EL01"	"3"
"L01EA03"	"2"
"L01EB02"	"2"
"L01EL02"	"2"
"L01FD01"	"2"
"L01XD04"	"2"
"L01BC06"	"1"
"L04AA10"	"1"
"L04AH01"	"1"
