"atc"	"n"
"L04AX04"	"126000"
"L01EL01"	"47055"
"L01AA01"	"39842"
"L01FC01"	"27258"
"L04AA06"	"25063"
"L01XG01"	"24723"
"L01XX52"	"23852"
"L04AD02"	"20427"
"L01DB01"	"18832"
"L01FA01"	"18750"
"L04AD01"	"17740"
"L01XC02"	"16221"
"L01CA02"	"14978"
"L04AX06"	"14861"
"L01AA09"	"14798"
"L01XG02"	"12530"
"L01XC24"	"12150"
"L01XX32"	"11416"
"L01CB01"	"9781"
"L01BC06"	"7638"
"L01XX05"	"7181"
"L01AA02"	"6239"
"L01BC01"	"5105"
"L01EA01"	"5033"
"L01BA01"	"4780"
"L04AX01"	"4573"
"L04AA10"	"4392"
"L01AA03"	"4337"
"L01XB01"	"4146"
"L01CA01"	"3981"
"L01XE27"	"3859"
"L01EM01"	"3715"
"L01AX04"	"3677"
"L01EJ01"	"3590"
"L01XX45"	"3234"
"L01EA03"	"2935"
"L04AC03"	"2660"
"L01XF03"	"2557"
"L01BC07"	"2262"
"L01BC05"	"2257"
