"atc"	"n"
"L01XG01"	"67539"
"L01FC01"	"64382"
"L01FA01"	"58564"
"L04AX04"	"54988"
"L01AA01"	"39019"
"L01DB01"	"26863"
"L01XG02"	"24541"
"L01AA09"	"24164"
"L01CA02"	"23692"
"L01CB01"	"15098"
"L04AX03"	"13718"
"L01XX52"	"11108"
"L01"	"10421"
"L04AX06"	"9100"
"L01BA01"	"8087"
"L01BC01"	"7455"
"L01BC07"	"5814"
"L01AX04"	"5678"
"L04AD02"	"5669"
"L01DC01"	"5301"
"L01AA03"	"5175"
"L01EL01"	"5127"
"L01FA03"	"5086"
"L01CA01"	"4949"
"L04AD01"	"4386"
"L01BC02"	"3978"
"L01AX03"	"3928"
"L04AA06"	"3801"
"L01XX05"	"3753"
"L01BC05"	"3610"
"L01BC06"	"2751"
"L01AA02"	"2645"
"L01XA02"	"2451"
"L01FF02"	"2433"
"L01CD01"	"2064"
"L04AX01"	"2014"
"L01FX24"	"1887"
"L01CA04"	"1835"
"L01XB01"	"1802"
"L01XE"	"1658"
