"atc_code"	"drug_name"	"disease"	"exact_rows"	"prefix_rows"	"n_patients"	"source"
"H02AB02"	"Dexamethasone"	"MM"	"501"	"501"	"315"	"SDS_epikur"
"A01AC02"	"Dexamethasone (alt)"	"MM"	"0"	"0"	""	"SDS_epikur"
"L01AA03"	"Melphalan"	"MM"	"120"	"120"	"29"	"SDS_epikur"
"L01AA01"	"Cyclophosphamide"	"MM/CLL/Lymphoma"	"475"	"475"	"217"	"SDS_epikur"
"L01DB01"	"Doxorubicin"	"MM/Lymphoma"	"0"	"0"	""	"SDS_epikur"
"L04AX02"	"Thalidomide"	"MM"	"8"	"8"	"6"	"SDS_epikur"
"L04AX04"	"Lenalidomide"	"MM"	"2"	"2"	"1"	"SDS_epikur"
"L04AX06"	"Pomalidomide"	"MM"	"0"	"0"	""	"SDS_epikur"
"L01XG01"	"Bortezomib"	"MM"	"0"	"0"	""	"SDS_epikur"
"L01XG02"	"Carfilzomib"	"MM"	"0"	"0"	""	"SDS_epikur"
"L01XG03"	"Ixazomib"	"MM"	"0"	"0"	""	"SDS_epikur"
"L01FC01"	"Daratumumab"	"MM"	"0"	"0"	""	"SDS_epikur"
"L01FX08"	"Elotuzumab"	"MM"	"0"	"0"	""	"SDS_epikur"
"L01XH03"	"Panobinostat"	"MM"	"0"	"0"	""	"SDS_epikur"
"L01XE27"	"Ibrutinib"	"CLL"	"0"	"0"	""	"SDS_epikur"
"L01XX52"	"Venetoclax"	"CLL"	"0"	"0"	""	"SDS_epikur"
"L01EM01"	"Idelalisib"	"CLL"	"0"	"0"	""	"SDS_epikur"
"L01XC15"	"Obinutuzumab"	"CLL/Lymphoma"	"0"	"0"	""	"SDS_epikur"
"L01FA01"	"Rituximab"	"CLL/Lymphoma"	"0"	"0"	""	"SDS_epikur"
"L01XC02"	"Rituximab (alt)"	"CLL/Lymphoma"	"0"	"0"	""	"SDS_epikur"
"L01CA02"	"Vincristine"	"Lymphoma"	"0"	"0"	""	"SDS_epikur"
"L01CB01"	"Etoposide"	"Lymphoma"	"0"	"0"	""	"SDS_epikur"
"L01BA01"	"Methotrexate"	"Lymphoma"	"412"	"412"	"33"	"SDS_epikur"
"L01CD01"	"Paclitaxel"	"General"	"0"	"0"	""	"SDS_epikur"
