"atc_code"	"drug_name"	"disease"	"total_rows"	"total_patients"	"sources"	"n_sources"
"L01XX52"	"Venetoclax"	"CLL"	"69920"	"699"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"L01EM01"	"Idelalisib"	"CLL"	"7954"	"36"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"L01XE27"	"Ibrutinib"	"CLL"	"7718"	"195"	"SDS_indberetningmedpris"	"1"
"L01FA01"	"Rituximab"	"CLL/Lymphoma"	"154628"	"5623"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"L01XC02"	"Rituximab (alt)"	"CLL/Lymphoma"	"32500"	"3114"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"L01XC15"	"Obinutuzumab"	"CLL/Lymphoma"	"948"	"102"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"H02AB06"	"Prednisolone"	"General"	"1770830"	"28054"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"H02AB09"	"Hydrocortisone"	"General"	"79266"	"2100"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"L01CD01"	"Paclitaxel"	"General"	"6532"	"163"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"L01CA02"	"Vincristine"	"Lymphoma"	"77340"	"3288"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"L01CB01"	"Etoposide"	"Lymphoma"	"49758"	"1329"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"L01BA01"	"Methotrexate"	"Lymphoma"	"27474"	"1128"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"H02AB02"	"Dexamethasone"	"MM"	"852510"	"18098"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"L04AX04"	"Lenalidomide"	"MM"	"361996"	"2140"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"L01XG01"	"Bortezomib"	"MM"	"184524"	"2006"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"L01FC01"	"Daratumumab"	"MM"	"183280"	"1523"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"L01XG02"	"Carfilzomib"	"MM"	"74142"	"500"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"L04AX06"	"Pomalidomide"	"MM"	"47930"	"589"	"SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"3"
"L01AA03"	"Melphalan"	"MM"	"19510"	"1398"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"L04AX02"	"Thalidomide"	"MM"	"6102"	"123"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"L01XG03"	"Ixazomib"	"MM"	"3738"	"130"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"L01FX08"	"Elotuzumab"	"MM"	"3666"	"55"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"L01XH03"	"Panobinostat"	"MM"	"20"	"4"	"SP_OrdineretMedicin"	"1"
"M05BA08"	"Zoledronic acid"	"MM supportive"	"207718"	"4784"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"M05BA06"	"Ibandronic acid"	"MM supportive"	"41334"	"641"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"L01AA01"	"Cyclophosphamide"	"MM/CLL/Lymphoma"	"159762"	"4872"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"L01DB01"	"Doxorubicin"	"MM/Lymphoma"	"91390"	"3596"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"2"
"J05AB01"	"Aciclovir"	"Supportive"	"1552274"	"16720"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"J01EE01"	"Trimethoprim-sulfamethoxazole"	"Supportive"	"536966"	"6367"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"J02AC01"	"Fluconazole"	"Supportive"	"473748"	"17482"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
"L03AA02"	"Filgrastim (G-CSF)"	"Supportive"	"120114"	"3761"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"4"
