"source"	"rank"	"code"	"name"	"n"
"LABKA"	"1"	"DNK35302"	"eGFR (CKD-EPI)"	"6001170"
"LABKA"	"2"	"NPU19748"	"Leukocytes"	"5827115"
"LABKA"	"3"	"NPU18016"	"Thrombocytes"	"4581366"
"LABKA"	"4"	"NPU02319"	"Haemoglobin"	"4468090"
"LABKA"	"5"	"NPU03429"	"Potassium"	"4437732"
"LABKA"	"6"	"NPU03230"	"Sodium"	"4253073"
"LABKA"	"7"	"NPU02593"	"Creatinine"	"4244550"
"LABKA"	"8"	"NPU03568"	"Calcium (total)"	"3952700"
"LABKA"	"9"	"NPU01349"	"Albumin"	"3628978"
"LABKA"	"10"	"NPU01370"	"ALAT"	"3562706"
"LABKA"	"11"	"NPU04998"	"C-reactive protein"	"3516277"
"LABKA"	"12"	"NPU26631"	"Coagulation factor II/VII/X"	"3453627"
"LABKA"	"13"	"NPU19651"	"Neutrophils"	"2899869"
"LABKA"	"14"	"NPU02840"	"Glucose"	"2674241"
"LABKA"	"15"	"NPU02636"	"LDH"	"2624363"
"PERSIMUNE"	"1"	"NPU02319"	"Haemoglobin"	"1514287"
"PERSIMUNE"	"2"	"NPU02593"	"Creatinine"	"1396945"
"PERSIMUNE"	"3"	"NPU03230"	"Sodium"	"1339815"
"PERSIMUNE"	"4"	"NPU03429"	"Potassium"	"1333187"
"PERSIMUNE"	"5"	"NPU03568"	"Calcium (total)"	"1294479"
"PERSIMUNE"	"6"	"NPU19748"	"Leukocytes"	"1228477"
"PERSIMUNE"	"7"	"NPU04998"	"C-reactive protein"	"1033360"
"PERSIMUNE"	"8"	"NPU02636"	"LDH"	"919193"
"PERSIMUNE"	"9"	"NPU02840"	"Glucose"	"910308"
"PERSIMUNE"	"10"	"NPU01349"	"Albumin"	"907323"
"PERSIMUNE"	"11"	"DNK35302"	"eGFR (CKD-EPI)"	"899624"
"PERSIMUNE"	"12"	"NPU19651"	"Neutrophils"	"850966"
"PERSIMUNE"	"13"	"NPU19658"	"Monocytes"	"804186"
"PERSIMUNE"	"14"	"NPU01933"	"Bilirubin (total)"	"802122"
"PERSIMUNE"	"15"	"NPU02902"	"IgG"	"746408"
