"column_name"	"value"	"n_rows"	"pct_non_missing"
"1_treatment"	"FCR"	"50"	"25.773"
"1_treatment"	"Ibrutinib"	"36"	"18.557"
"1_treatment"	"BR"	"33"	"17.01"
"1_treatment"	"Chlor"	"29"	"14.948"
"1_treatment"	"CD20Chlor"	"11"	"5.67"
"1_treatment"	"FC"	"8"	"4.124"
"1_treatment"	"Other_kommentar_i_note"	"5"	"2.577"
"1_treatment"	"R-CHOP"	"5"	"2.577"
"1_treatment"	"Alemtuzumab"	"4"	"2.062"
"1_treatment"	"Alemtuzumab+FC"	"4"	"2.062"
"1_treatment"	"Rituximab"	"4"	"2.062"
"1_treatment"	"F"	"2"	"1.031"
"1_treatment"	"Alemtuzumab + FC"	"1"	"0.515"
"1_treatment"	"B"	"1"	"0.515"
"1_treatment"	"Ibrutinib + 4 ugers Rituximab"	"1"	"0.515"
"2_treatment"	"Ibrutinib"	"49"	"30.818"
"2_treatment"	"BR"	"45"	"28.302"
"2_treatment"	"FCR"	"15"	"9.434"
"2_treatment"	"Chlor"	"13"	"8.176"
"2_treatment"	"CD20Chlor"	"8"	"5.031"
"2_treatment"	"Rituximab"	"5"	"3.145"
"2_treatment"	"Other_kommentar_i_note"	"3"	"1.887"
"2_treatment"	"R-CHOP"	"3"	"1.887"
"2_treatment"	"B"	"2"	"1.258"
"2_treatment"	"FC"	"2"	"1.258"
"2_treatment"	"Idelisib"	"2"	"1.258"
"2_treatment"	"Other chemo"	"2"	"1.258"
"2_treatment"	"allo/auto/mini_KMT"	"2"	"1.258"
"2_treatment"	"ABVD+rituximab+ibrutinib"	"1"	"0.629"
"2_treatment"	"Alemtuzumab"	"1"	"0.629"
"2_treatment"	"Alemtuzumab+FC"	"1"	"0.629"
"2_treatment"	"CHOP"	"1"	"0.629"
"2_treatment"	"F"	"1"	"0.629"
"2_treatment"	"HCT"	"1"	"0.629"
"2_treatment"	"Idealisib_immun"	"1"	"0.629"
"2_treatment"	"R-CVP"	"1"	"0.629"
"IGHV"	"0"	"107"	"66.46"
"IGHV"	"1"	"39"	"24.224"
"IGHV"	"NA"	"15"	"9.317"
"adverse_events"	"1"	"65"	"92.857"
"adverse_events"	"0"	"5"	"7.143"
"binet_prior_ib"	"C"	"77"	"46.386"
"binet_prior_ib"	"A"	"62"	"37.349"
"binet_prior_ib"	"B"	"27"	"16.265"
