"column_name"	"value"	"n_rows"	"pct_non_missing"
"Binet"	"A"	"347"	"61.092"
"Binet"	"B"	"139"	"24.472"
"Binet"	"C"	"82"	"14.437"
"CLLIPI"	"Intermediate"	"157"	"43.251"
"CLLIPI"	"Low"	"92"	"25.344"
"CLLIPI"	"High"	"89"	"24.518"
"CLLIPI"	"Very high"	"25"	"6.887"
"Del17ptp53_1treatment"	"Ikke udført"	"152"	"28.411"
"Del17ptp53_1treatment"	"Udført, normal"	"114"	"21.308"
"Del17ptp53_1treatment"	"Udført, Del13q"	"101"	"18.879"
"Del17ptp53_1treatment"	"Udført, Tri12"	"70"	"13.084"
"Del17ptp53_1treatment"	"Udført, Del11q"	"55"	"10.28"
"Del17ptp53_1treatment"	"Udført, Del17p"	"34"	"6.355"
"Del17ptp53_1treatment"	"Udført, Del17p, TP53mutation"	"8"	"1.495"
"Del17ptp53_1treatment"	"Udført, TP53mutation"	"1"	"0.187"
"FISH_diag"	"Udført, Del13q"	"165"	"27.872"
"FISH_diag"	"Udført, normal"	"138"	"23.311"
"FISH_diag"	"Tri12"	"96"	"16.216"
"FISH_diag"	"Udført, Del11q"	"83"	"14.02"
"FISH_diag"	"Del17p"	"56"	"9.459"
"FISH_diag"	"Missing"	"54"	"9.122"
"IGHV"	"Unmutated"	"274"	"46.05"
"IGHV"	"Mutated"	"206"	"34.622"
"IGHV"	"Missing"	"115"	"19.328"
"IMMTERAPI1"	"Rituximab"	"358"	"63.139"
"IMMTERAPI1"	"Ingen immunterapi"	"140"	"24.691"
"IMMTERAPI1"	"Obinutuzumab"	"49"	"8.642"
"IMMTERAPI1"	"Alemtuzumab"	"15"	"2.646"
"IMMTERAPI1"	"Ofatumumab"	"3"	"0.529"
"IMMTERAPI1"	"Lenalidomid"	"2"	"0.353"
