"source_name"	"column_name"	"n_total"	"n_non_missing"	"n_missing"	"pct_non_missing"	"mean"	"sd"	"min"	"p05"	"p25"	"median"	"p75"	"p95"	"max"
"CLL_TREAT_IBRUTINIB"	"gender"	"195"	"195"	"0"	"100"	"0.631"	"0.484"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"alcohol"	"195"	"179"	"16"	"91.79"	"0.782"	"0.5"	"0"	"0"	"0"	"1"	"1"	"1"	"2"
"CLL_TREAT_IBRUTINIB"	"cirs_prior_ib"	"195"	"171"	"24"	"87.69"	"3.673"	"2.499"	"0"	"0"	"2"	"3"	"6"	"8"	"10"
"CLL_TREAT_IBRUTINIB"	"age_diagnosis"	"195"	"194"	"1"	"99.49"	"64.33"	"10.631"	"35"	"46.300000000000004"	"59"	"65"	"71"	"81"	"90"
"CLL_TREAT_IBRUTINIB"	"total_treatments"	"195"	"174"	"21"	"89.23"	"3.04"	"1.635"	"1"	"1"	"2"	"3"	"4"	"6"	"9"
"CLL_TREAT_IBRUTINIB"	"line_nr"	"195"	"195"	"0"	"100"	"2.851"	"1.476"	"1"	"1"	"2"	"3"	"4"	"5"	"9"
"CLL_TREAT_IBRUTINIB"	"first_line"	"195"	"195"	"0"	"100"	"0.19"	"0.393"	"0"	"0"	"0"	"0"	"0"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"ps_prior_ib"	"195"	"54"	"141"	"27.69"	"0.37"	"0.525"	"0"	"0"	"0"	"0"	"1"	"1"	"2"
"CLL_TREAT_IBRUTINIB"	"new_cyto_prior_ib"	"195"	"101"	"94"	"51.79"	"1260.931"	"7238.464"	"0"	"0"	"1"	"1"	"1"	"1"	"42641"
"CLL_TREAT_IBRUTINIB"	"del17p_tp53_prior"	"195"	"145"	"50"	"74.36"	"0.738"	"0.441"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"tp53"	"195"	"96"	"99"	"49.23"	"0.51"	"0.503"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"del17p_ib"	"195"	"194"	"1"	"99.49"	"0.397"	"0.491"	"0"	"0"	"0"	"0"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"del13q_ib"	"195"	"193"	"2"	"98.97"	"0.508"	"0.501"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"tri12_ib"	"195"	"193"	"2"	"98.97"	"0.192"	"0.395"	"0"	"0"	"0"	"0"	"0"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"del11q_ib"	"195"	"193"	"2"	"98.97"	"0.187"	"0.391"	"0"	"0"	"0"	"0"	"0"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"ibrutinib_mono"	"195"	"195"	"0"	"100"	"0.985"	"0.123"	"0"	"1"	"1"	"1"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"ibrutinib_combination"	"195"	"84"	"111"	"43.08"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"CLL_TREAT_IBRUTINIB"	"start_dose_ibrutinib"	"195"	"195"	"0"	"100"	"408.667"	"45.806"	"140"	"280"	"420"	"420"	"420"	"420"	"450"
"CLL_TREAT_IBRUTINIB"	"dose_reduction"	"195"	"194"	"1"	"99.49"	"0.34"	"0.527"	"0"	"0"	"0"	"0"	"1"	"1"	"2"
"CLL_TREAT_IBRUTINIB"	"pause"	"195"	"195"	"0"	"100"	"0.41"	"0.493"	"0"	"0"	"0"	"0"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"adverse_events"	"195"	"70"	"125"	"35.9"	"0.929"	"0.259"	"0"	"0"	"1"	"1"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"discontinuation"	"195"	"195"	"0"	"100"	"0.426"	"0.496"	"0"	"0"	"0"	"0"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"atrialfibrillation"	"195"	"108"	"87"	"55.38"	"0.148"	"0.357"	"0"	"0"	"0"	"0"	"0"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"infection"	"195"	"70"	"125"	"35.9"	"0.629"	"0.487"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"progression"	"195"	"195"	"0"	"100"	"0.113"	"0.317"	"0"	"0"	"0"	"0"	"0"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"stable_disease"	"195"	"38"	"157"	"19.49"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"dead"	"195"	"195"	"0"	"100"	"0.267"	"0.443"	"0"	"0"	"0"	"0"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"Pause_EFU"	"195"	"2"	"193"	"1.03"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"CLL_TREAT_IBRUTINIB"	"max_pause"	"195"	"80"	"115"	"41.03"	"2.587"	"0.882"	"1"	"1"	"2"	"3"	"3"	"4"	"4"
"CLL_TREAT_IBRUTINIB"	"...1"	"195"	"38"	"157"	"19.49"	"16.605"	"10.747"	"1"	"1.85"	"8.25"	"14.5"	"23.5"	"35.15"	"38"
