"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"CLL_TREAT"	"CLL_TREAT"	"Binet"	"A"	"347"	"61.092"
"CLL_TREAT"	"CLL_TREAT"	"Binet"	"B"	"139"	"24.472"
"CLL_TREAT"	"CLL_TREAT"	"Binet"	"C"	"82"	"14.437"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger1"	"1"	"416"	"83.534"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger1"	"0"	"69"	"13.855"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger1"	"ikke relevant"	"12"	"2.41"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger1"	"Richter transformation"	"1"	"0.201"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger2"	"1"	"198"	"79.518"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger2"	"0"	"40"	"16.064"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger2"	"ikke relevant"	"11"	"4.418"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger3"	"1"	"90"	"74.38"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger3"	"0"	"24"	"19.835"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger3"	"ikke relevant"	"7"	"5.785"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger4"	"1"	"38"	"69.091"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger4"	"0"	"12"	"21.818"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger4"	"ikke relevant"	"5"	"9.091"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger5"	"1"	"19"	"73.077"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger5"	"ikke relevant"	"5"	"19.231"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger5"	"0"	"2"	"7.692"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger6"	"1"	"5"	"62.5"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger6"	"0"	"2"	"25"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger6"	"ikke relevant"	"1"	"12.5"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger7"	"1"	"2"	"100"
"CLL_TREAT"	"CLL_TREAT"	"Bivirkninger8"	"1"	"1"	"100"
"CLL_TREAT"	"CLL_TREAT"	"CLLIPI"	"Intermediate"	"157"	"43.251"
"CLL_TREAT"	"CLL_TREAT"	"CLLIPI"	"Low"	"92"	"25.344"
"CLL_TREAT"	"CLL_TREAT"	"CLLIPI"	"High"	"89"	"24.518"
"CLL_TREAT"	"CLL_TREAT"	"CLLIPI"	"Very high"	"25"	"6.887"
"CLL_TREAT"	"CLL_TREAT"	"Dead"	"0"	"317"	"53.277"
"CLL_TREAT"	"CLL_TREAT"	"Dead"	"1"	"278"	"46.723"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_1treatment"	"Ikke udført"	"152"	"28.411"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_1treatment"	"Udført, normal"	"114"	"21.308"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_1treatment"	"Udført, Del13q"	"101"	"18.879"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_1treatment"	"Udført, Tri12"	"70"	"13.084"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_1treatment"	"Udført, Del11q"	"55"	"10.28"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_1treatment"	"Udført, Del17p"	"34"	"6.355"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_1treatment"	"Udført, Del17p, TP53mutation"	"8"	"1.495"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_1treatment"	"Udført, TP53mutation"	"1"	"0.187"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_2treatment"	"Ikke udført"	"111"	"39.928"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_2treatment"	"Udført, normal"	"42"	"15.108"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_2treatment"	"Udført, Del11q"	"33"	"11.871"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_2treatment"	"Udført, Del13q"	"31"	"11.151"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_2treatment"	"Udført, Del17p"	"25"	"8.993"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_2treatment"	"Udført, Tri12"	"17"	"6.115"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_2treatment"	"Udført, Del17p, TP53mutation"	"14"	"5.036"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53_2treatment"	"Udført, TP53mutation"	"5"	"1.799"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53før3behandling"	"Ikke udført"	"69"	"47.586"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53før3behandling"	"Udført, Del13q"	"17"	"11.724"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53før3behandling"	"Udført, normal"	"17"	"11.724"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53før3behandling"	"Udført, Del11q"	"14"	"9.655"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53før3behandling"	"Udført, Del17p"	"8"	"5.517"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53før3behandling"	"Udført, TP53mutation"	"8"	"5.517"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53før3behandling"	"Udført, Tri12"	"7"	"4.828"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53før3behandling"	"Udført, Del17p, TP53mutation"	"3"	"2.069"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53før3behandling"	"Udført, Del17p, ingen mutation."	"1"	"0.69"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53før3behandling"	"Udført, del11q"	"1"	"0.69"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53før4behandling"	"Ikke udført"	"39"	"60"
"CLL_TREAT"	"CLL_TREAT"	"Del17ptp53før4behandling"	"Udført, normal"	"12"	"18.462"
