"source_name"	"object_name"	"column_name"	"column_class"	"n_non_missing"	"pct_non_missing"	"n_distinct_sample"
"patient"	"patient"	"sex"	"character"	"75572"	"100"	"2"
"patient"	"patient"	"date_birth"	"Date"	"75572"	"100"	"18230"
"patient"	"patient"	"status"	"integer"	"75572"	"100"	"2"
"patient"	"patient"	"date_death_fu"	"Date"	"75572"	"100"	"7546"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"date_diagnosis"	"Date"	"4083963"	"100"	"6469"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"diagnosis"	"character"	"4083963"	"100"	"118"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"tablename"	"character"	"4083963"	"100"	"12"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"datasource"	"character"	"4083963"	"100"	"4"
"t_dalycare_diagnoses"	"t_dalycare_diagnoses"	"priority"	"integer"	"4083963"	"100"	"4"
"diagnoses_all"	"diagnoses_all"	"date_diagnosis"	"Date"	"37855129"	"100"	"6154"
"diagnoses_all"	"diagnoses_all"	"diagnosis"	"character"	"33923589"	"89.61"	"2871"
"diagnoses_all"	"diagnoses_all"	"tablename"	"character"	"37855129"	"100"	"15"
"diagnoses_all"	"diagnoses_all"	"datasource"	"character"	"37855129"	"100"	"7"
"diagnoses_all"	"diagnoses_all"	"date_created"	"Date"	"37855129"	"100"	"1"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"integer"	"14573"	"98.43"	"240"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Region"	"character"	"14738"	"99.55"	"8"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"IND_Beh"	"character"	"14805"	"100"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"IND_Relaps"	"character"	"14805"	"100"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"IND_FU"	"character"	"14805"	"100"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"IND_Cyt"	"character"	"14805"	"100"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Tid_Diag_Pbeh"	"integer"	"6767"	"45.71"	"447"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Tid_Diag_Prog"	"integer"	"3370"	"22.76"	"1492"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Diagnosedato"	"Date"	"14805"	"100"	"4466"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Stadie"	"integer"	"12901"	"87.14"	"4"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"lpr_ind_dt"	"Date"	"9167"	"61.92"	"4296"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"inAML"	"character"	"31"	"0.21"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"inCLL"	"character"	"23"	"0.16"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"inLYFO"	"character"	"103"	"0.7"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"inMPDS"	"character"	"64"	"0.43"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_id"	"integer"	"14805"	"100"	"14804"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_OrganisationKode_SOR"	"integer64"	"14805"	"100"	"15"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_OrganisationKode_Shak"	"character"	"14805"	"100"	"15"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Diagnose"	"character"	"14805"	"100"	"8"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Diagnose_dt"	"Date"	"14805"	"100"	"4466"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_TidligereMGUS"	"character"	"7455"	"50.35"	"4"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_TidligereMGUS_dt"	"Date"	"370"	"2.5"	"351"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Hoejde"	"integer"	"6266"	"42.32"	"61"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Vaegt"	"numeric"	"6266"	"42.32"	"575"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_ProcentKlonalePlasmaceller"	"integer"	"9017"	"60.91"	"103"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_PaavistPlasmacytomAnden"	"character"	"1569"	"10.6"	"5"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_PCINFMARV"	"character"	"6102"	"41.22"	"4"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Karyotypning_gennemfoert"	"character"	"9012"	"60.87"	"4"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_KARYOTYPE"	"integer"	"806"	"5.44"	"7"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_FISH"	"character"	"5890"	"39.78"	"6"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_CYTOGENRES"	"character"	"1197"	"8.09"	"840"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Knogleforandringer"	"character"	"14750"	"99.63"	"3"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Knogleforandringer_type"	"integer"	"14720"	"99.43"	"6"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_SammenfaldCorpora"	"character"	"14805"	"100"	"3"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_AndreKnogleundersoegelse"	"character"	"14805"	"100"	"3"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Knogleundersoegelser_scinti"	"character"	"128"	"0.86"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Knogleundersoegelser_dexa"	"character"	"268"	"1.81"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Knogleundersoegelser_mri"	"character"	"3284"	"22.18"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Knogleundersoegelser_ct"	"character"	"5823"	"39.33"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Knogleundersoegelser_pet"	"character"	"1418"	"9.58"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_Knogleundersoegelser_other"	"character"	"384"	"2.59"	"2"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Reg_AndenKnogleundersoegelse"	"character"	"260"	"1.76"	"27"
