"expected_field"	"description"	"present"	"actual_column"
"Reg_Knogleforandringer_type"	"Type of bone involvement"	"TRUE"	"Reg_Knogleforandringer_type"
"Reg_ISS_Stadie"	"ISS stage"	"FALSE"	""
"Reg_DS_Stadie"	"Durie-Salmon stage"	"FALSE"	""
"Reg_Performance_Status"	"ECOG performance status"	"FALSE"	""
"Reg_M_komponent_type"	"M-component type (IgG, IgA, etc.)"	"FALSE"	""
"Reg_Let_kaede_type"	"Light chain type (kappa/lambda)"	"FALSE"	""
"Reg_Calcium"	"Calcium at diagnosis"	"FALSE"	""
"Reg_Kreatinin"	"Creatinine at diagnosis"	"FALSE"	""
"Reg_Haemoglobin"	"Hemoglobin at diagnosis"	"TRUE"	"Reg_Haemoglobin"
"Reg_B2_mikroglobulin"	"Beta-2-microglobulin"	"FALSE"	""
"Reg_Albumin"	"Albumin"	"FALSE"	""
"Reg_LDH"	"LDH"	"TRUE"	"Reg_LDH"
