"source_name"	"column"	"n_total"	"n_numeric"	"min"	"p25"	"median"	"p75"	"max"
"RKKP_DaMyDa"	"Kommunenr"	"14805"	"14573"	"19"	"265"	"461"	"706"	"860"
"RKKP_DaMyDa"	"Region"	"14805"	"14735"	"1081"	"1082"	"1083"	"1084"	"1099"
"RKKP_DaMyDa"	"Tid_Diag_Pbeh"	"14805"	"6767"	"-3632"	"6"	"14"	"28"	"73065"
"RKKP_DaMyDa"	"Tid_Diag_Prog"	"14805"	"3370"	"-1790"	"287"	"560.5"	"965.5"	"5536"
"RKKP_DaMyDa"	"Stadie"	"14805"	"12901"	"1"	"1"	"2"	"2"	"3"
"RKKP_DaMyDa"	"Reg_id"	"14805"	"14805"	"68206"	"1288432"	"1672285"	"1924580"	"3210297"
"RKKP_DaMyDa"	"Reg_OrganisationKode_SOR"	"14805"	"14805"	"218861000016002"	"265081000016008"	"380011000016000"	"440781000016009"	"1095041000016007"
"RKKP_DaMyDa"	"Reg_OrganisationKode_Shak"	"14805"	"10928"	"1301101"	"1516230"	"5000505"	"6620141"	"8001101"
"RKKP_DaMyDa"	"Reg_Diagnose"	"14805"	"9290"	"9730"	"9732"	"9732"	"9732"	"9734"
"RKKP_DaMyDa"	"Reg_Hoejde"	"14805"	"6266"	"-1"	"-1"	"167"	"176"	"204"
"RKKP_DaMyDa"	"Reg_Vaegt"	"14805"	"6266"	"-1"	"50"	"70"	"84"	"145"
"RKKP_DaMyDa"	"Reg_ProcentKlonalePlasmaceller"	"14805"	"9017"	"-1"	"14"	"25"	"50"	"100"
"RKKP_DaMyDa"	"Reg_PaavistPlasmacytomAnden"	"14805"	"17"	"9"	"9"	"9"	"9"	"9"
"RKKP_DaMyDa"	"Reg_KARYOTYPE"	"14805"	"806"	"1"	"1"	"1"	"1"	"7"
"RKKP_DaMyDa"	"Reg_FISH"	"14805"	"25"	"4"	"4"	"4"	"4"	"4"
"RKKP_DaMyDa"	"Reg_CYTOGENRES"	"14805"	"116"	"-13"	"-1"	"1"	"1"	"46"
"RKKP_DaMyDa"	"Reg_Knogleforandringer_type"	"14805"	"14720"	"0"	"0"	"1"	"3"	"9"
"RKKP_DaMyDa"	"Reg_UrinMKomponent_gL"	"14805"	"3216"	"-1"	"-1"	"0.05"	"0.59"	"791"
"RKKP_DaMyDa"	"Reg_UrinMKomponent_gD"	"14805"	"1401"	"-1"	"-1"	"0.02"	"0.67"	"37"
"RKKP_DaMyDa"	"Reg_Haemoglobin"	"14805"	"14799"	"-1"	"6.5"	"7.6"	"8.5"	"13"
"RKKP_DaMyDa"	"Reg_Beta2Microglobulin_gl"	"14805"	"10502"	"-1"	"1.98"	"2.7"	"4.5"	"90"
"RKKP_DaMyDa"	"Reg_Beta2Microglobulin_nMoll"	"14805"	"4737"	"-1"	"-1"	"195"	"379"	"3500"
"RKKP_DaMyDa"	"Reg_Albumin_gl"	"14805"	"14124"	"-1"	"33"	"37"	"41"	"100"
"RKKP_DaMyDa"	"Reg_Albumin_mMoll"	"14805"	"1121"	"-1"	"-1"	"381"	"551"	"772"
"RKKP_DaMyDa"	"Reg_Creatinin_mikmoll"	"14805"	"14588"	"-1"	"67"	"82"	"107"	"2000"
"RKKP_DaMyDa"	"Reg_Creatinin_mmoll"	"14805"	"753"	"-1"	"-1"	"-1"	"0.069"	"1.063"
"RKKP_DaMyDa"	"Reg_CalciumAlbuminkorrigeret"	"14805"	"4146"	"-1"	"2.28"	"2.39"	"2.51"	"5.9"
"RKKP_DaMyDa"	"Reg_CalciumIoniseret"	"14805"	"13186"	"-1"	"1.21"	"1.26"	"1.3"	"4.5"
"RKKP_DaMyDa"	"Reg_CReaktivtProtein_gl"	"14805"	"14456"	"-1"	"2"	"3.9"	"10"	"1586"
