"source_name"	"object_name"	"column"	"value"	"n"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"101"	"759"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"751"	"704"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"461"	"588"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"851"	"406"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"630"	"363"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"265"	"331"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"561"	"288"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"621"	"264"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"316"	"249"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"540"	"249"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"330"	"246"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"147"	"240"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"615"	"239"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"259"	"228"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"370"	"220"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"510"	"212"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"479"	"210"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"791"	"209"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"740"	"203"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"730"	"194"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"657"	"189"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"376"	"188"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"580"	"188"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"607"	"187"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"253"	"183"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"430"	"179"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"420"	"165"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"306"	"163"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"390"	"160"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"326"	"157"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"550"	"153"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Kommunenr"	"661"	"153"
