"requested_source"	"load_status"	"resolved_object"	"resolution_method"	"n_rows"	"n_cols"	"load_result_class"	"note"	"bootstrap_status"
"patient"	"loaded"	"patient"	"direct_get_after_safe_load"	"75572"	"5"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"t_dalycare_diagnoses"	"loaded"	"t_dalycare_diagnoses"	"direct_get_after_safe_load"	"4083963"	"6"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"diagnoses_all"	"loaded"	"diagnoses_all"	"direct_get_after_safe_load"	"37855129"	"6"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"RKKP_DaMyDa"	"loaded"	"RKKP_DaMyDa"	"direct_get_after_safe_load"	"14805"	"352"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"RKKP_LYFO"	"loaded"	"RKKP_LYFO"	"direct_get_after_safe_load"	"27061"	"198"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"RKKP_CLL"	"loaded"	"RKKP_CLL"	"direct_get_after_safe_load"	"7884"	"80"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SDS_epikur"	"loaded"	"SDS_epikur"	"direct_get_after_safe_load"	"25573577"	"15"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SDS_ekokur"	"loaded"	"SDS_ekokur"	"direct_get_after_safe_load"	"26532967"	"22"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SDS_indberetningmedpris"	"loaded"	"SDS_indberetningmedpris"	"direct_get_after_safe_load"	"18167248"	"27"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SDS_t_adm"	"loaded"	"SDS_t_adm"	"direct_get_after_safe_load"	"2329847"	"26"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SDS_t_diag"	"loaded"	"SDS_t_diag"	"direct_get_after_safe_load"	"12212398"	"6"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SDS_t_sksopr"	"loaded"	"SDS_t_sksopr"	"direct_get_after_safe_load"	"2451920"	"11"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SDS_t_sksube"	"loaded"	"SDS_t_sksube"	"direct_get_after_safe_load"	"40459037"	"11"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SDS_t_udtilsgh"	"loaded"	"SDS_t_udtilsgh"	"direct_get_after_safe_load"	"2077903"	"5"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
"SDS_pato"	"loaded"	"SDS_pato"	"direct_get_after_safe_load"	"5311994"	"12"	"NULL"	""	"sourced:/ngc/projects2/dalyca_r/clean_r/load_dalycare_package.R"
