"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"diagnoses_all"	"diagnoses_all"	"datasource"	"SDS, SDS"	"65544"	"65.544"
"diagnoses_all"	"diagnoses_all"	"datasource"	"SDS"	"33250"	"33.25"
"diagnoses_all"	"diagnoses_all"	"datasource"	"PATO"	"756"	"0.756"
"diagnoses_all"	"diagnoses_all"	"datasource"	"SDS, SDS, SDS"	"385"	"0.385"
"diagnoses_all"	"diagnoses_all"	"datasource"	"SDS, SDS, PATO"	"43"	"0.043"
"diagnoses_all"	"diagnoses_all"	"datasource"	"PATO, SDS"	"16"	"0.016"
"diagnoses_all"	"diagnoses_all"	"datasource"	"SDS, PATO"	"6"	"0.006"
"diagnoses_all"	"diagnoses_all"	"tablename"	"diagnoser, SDS_kontakter"	"43043"	"43.043"
"diagnoses_all"	"diagnoses_all"	"tablename"	"diagnoser"	"23096"	"23.096"
"diagnoses_all"	"diagnoses_all"	"tablename"	"t_adm, t_diag"	"22482"	"22.482"
"diagnoses_all"	"diagnoses_all"	"tablename"	"t_diag"	"9675"	"9.675"
"diagnoses_all"	"diagnoses_all"	"tablename"	"t_pato"	"756"	"0.756"
"diagnoses_all"	"diagnoses_all"	"tablename"	"t_tumor"	"472"	"0.472"
"diagnoses_all"	"diagnoses_all"	"tablename"	"t_adm, t_diag, t_tumor"	"288"	"0.288"
"diagnoses_all"	"diagnoses_all"	"tablename"	"diagnoser, SDS_kontakter, t_tumor"	"97"	"0.097"
"diagnoses_all"	"diagnoses_all"	"tablename"	"diagnoser, SDS_kontakter, t_pato"	"43"	"0.043"
"diagnoses_all"	"diagnoses_all"	"tablename"	"t_pato, t_tumor"	"16"	"0.016"
"diagnoses_all"	"diagnoses_all"	"tablename"	"t_diag, t_adm"	"14"	"0.014"
"diagnoses_all"	"diagnoses_all"	"tablename"	"SDS_kontakter"	"7"	"0.007"
"diagnoses_all"	"diagnoses_all"	"tablename"	"diagnoser, t_pato"	"6"	"0.006"
"diagnoses_all"	"diagnoses_all"	"tablename"	"t_diag, t_tumor"	"3"	"0.003"
"diagnoses_all"	"diagnoses_all"	"tablename"	"diagnoser, t_tumor"	"2"	"0.002"
