"code"	"description"	"disease"	"n_rows"	"n_patients"	"source"	"code_system"
"BWHA"	"Antineoplastic chemotherapy"	"General"	"1606196"	""	"SDS_t_sksube"	"SKS"
"BWGC"	"Radiotherapy"	"General"	"448578"	""	"SDS_t_sksube"	"SKS"
"BOHJ1"	"Immunotherapy"	"General"	"765646"	""	"SDS_t_sksube"	"SKS"
"BOHJ19"	"Specific immunotherapy"	"General"	"78306"	""	"SDS_t_sksube"	"SKS"
"BWHA154"	"Lenalidomide"	"MM"	"8843"	""	"SDS_t_sksube"	"SKS"
"BWHA105"	"Thalidomide"	"MM"	"47078"	""	"SDS_t_sksube"	"SKS"
"BWHA102"	"Melphalan"	"MM"	"12986"	""	"SDS_t_sksube"	"SKS"
"BWHB81"	"Bortezomib"	"MM"	"52758"	""	"SDS_t_sksube"	"SKS"
"BWHB82"	"Carfilzomib"	"MM"	"86037"	""	"SDS_t_sksube"	"SKS"
"BWHB86"	"Ixazomib"	"MM"	"14038"	""	"SDS_t_sksube"	"SKS"
"BWHA402"	"Cyclophosphamide"	"MM"	"256460"	""	"SDS_t_sksube"	"SKS"
"BWHA432"	"Bendamustine"	"MM"	"33302"	""	"SDS_t_sksube"	"SKS"
"BWHA439"	"Pomalidomide"	"MM"	"1970"	""	"SDS_t_sksube"	"SKS"
"BOHJ19H8"	"Daratumumab"	"MM"	"45620"	""	"SDS_t_sksube"	"SKS"
"BOHJ19H9"	"Isatuximab"	"MM"	"4088"	""	"SDS_t_sksube"	"SKS"
"BWHA445"	"Elotuzumab"	"MM"	"16"	""	"SDS_t_sksube"	"SKS"
"BWHA169"	"Ibrutinib"	"CLL"	"3018"	""	"SDS_t_sksube"	"SKS"
"BWHA170"	"Venetoclax"	"CLL"	"64"	""	"SDS_t_sksube"	"SKS"
"BOHJ19A1"	"Rituximab"	"CLL/Lymphoma"	"3298"	""	"SDS_t_sksube"	"SKS"
"BWHA14"	"Doxorubicin"	"Lymphoma"	"3158"	""	"SDS_t_sksube"	"SKS"
"L01XX52"	"Venetoclax"	"CLL"	"69920"	"699"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"L01EM01"	"Idelalisib"	"CLL"	"7954"	"36"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"L01XE27"	"Ibrutinib"	"CLL"	"7718"	"195"	"SDS_indberetningmedpris"	"ATC"
"L01FA01"	"Rituximab"	"CLL/Lymphoma"	"154628"	"5623"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"L01XC02"	"Rituximab (alt)"	"CLL/Lymphoma"	"32500"	"3114"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"L01XC15"	"Obinutuzumab"	"CLL/Lymphoma"	"948"	"102"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"H02AB06"	"Prednisolone"	"General"	"1770830"	"28054"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"H02AB09"	"Hydrocortisone"	"General"	"79266"	"2100"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"L01CD01"	"Paclitaxel"	"General"	"6532"	"163"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"L01CA02"	"Vincristine"	"Lymphoma"	"77340"	"3288"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"L01CB01"	"Etoposide"	"Lymphoma"	"49758"	"1329"	"SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"L01BA01"	"Methotrexate"	"Lymphoma"	"27474"	"1128"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"H02AB02"	"Dexamethasone"	"MM"	"852510"	"18098"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
"L04AX04"	"Lenalidomide"	"MM"	"361996"	"2140"	"SDS_epikur + SDS_ekokur + SDS_indberetningmedpris + SP_OrdineretMedicin"	"ATC"
