"atc"	"n"
"N02BE01"	"1313986"
"C10AA01"	"756007"
"B01AC06"	"730296"
"C07AB02"	"707742"
"C08CA01"	"582717"
"C03CA01"	"565249"
"A12BA01"	"516410"
"C03AB01"	"472336"
"A02BC02"	"455809"
"N02AX02"	"453997"
"A10BA02"	"451466"
"C09CA01"	"404815"
"M01AE01"	"361527"
"C10AA05"	"356914"
"C09AA02"	"331922"
"H03AA01"	"324382"
"J01CE02"	"319892"
"G03CA03"	"305831"
"N05CF01"	"285539"
"N06AB04"	"259753"
"N02AA01"	"259104"
"A02BC03"	"258208"
"N02AA05"	"248153"
"C09AA05"	"241564"
"M05BA04"	"239803"
"B01AA03"	"223366"
"B01AC04"	"208338"
"A02BC01"	"197444"
"H02AB06"	"190619"
"N02BF01"	"185903"
"C09DA01"	"182006"
"M01AX05"	"177781"
"M04AA01"	"173809"
"C01AA05"	"171338"
"N06AX11"	"167578"
"N05CF02"	"161931"
"N05BA04"	"155510"
"R03AC02"	"150709"
"J01CA08"	"149193"
"S01XA20"	"147107"
"R03BB04"	"143918"
"R03AK07"	"135072"
"G04CA02"	"127979"
"R05DA04"	"125694"
"C03DA01"	"123462"
"A02BC05"	"122192"
"B01AF02"	"119793"
"C07AG02"	"114247"
"N02BF02"	"112499"
"N06AB06"	"109260"
