"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Sample_source"	"CHB"	"14916"	"34.695"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Sample_source"	"DCB"	"12430"	"28.912"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Sample_source"	"DCB PLASMA"	"6687"	"15.554"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Sample_source"	"IGHV"	"2291"	"5.329"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Sample_source"	"PERSIMUNE_PLASMA"	"2280"	"5.303"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Sample_source"	"PERSIMUNE"	"2272"	"5.285"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Sample_source"	"CLL_BIOBANK"	"1131"	"2.631"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Sample_source"	"N2"	"985"	"2.291"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"Blod"	"22428"	"52.168"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"PLASMA"	"8967"	"20.857"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"Tumor væv"	"2706"	"6.294"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"DNA"	"2296"	"5.341"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"FULDBLOD"	"2272"	"5.285"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"Hæm-knoglemarv"	"2245"	"5.222"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"Viable"	"835"	"1.942"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"Hæm-blod"	"711"	"1.654"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"KM"	"373"	"0.868"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"Pellet"	"150"	"0.349"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"Metastase"	"5"	"0.012"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"Spyt/mundskrab"	"2"	"0.005"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"Normalt væv Andet 1 cm"	"1"	"0.002"
"LAB_BIOBANK_SAMPLES"	"LAB_BIOBANK_SAMPLES"	"Type"	"Normalt væv parrede organ"	"1"	"0.002"
