"source_name"	"column_name"	"n_total"	"n_non_missing"	"n_missing"	"pct_non_missing"	"mean"	"sd"	"min"	"p05"	"p25"	"median"	"p75"	"p95"	"max"
"LAB_CLLPANEL_WIDE"	"N.drivers"	"314"	"314"	"0"	"100"	"0.971"	"1.216"	"0"	"0"	"0"	"1"	"1"	"4"	"6"
"LAB_CLLPANEL_WIDE"	"unmutated"	"314"	"95"	"219"	"30.25"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"LAB_CLLPANEL_WIDE"	"Age"	"314"	"314"	"0"	"100"	"67.455"	"11.369"	"35"	"48"	"61"	"67"	"75.75"	"86"	"94"
"LAB_CLLPANEL_WIDE"	"PS"	"314"	"314"	"0"	"100"	"0.296"	"0.552"	"0"	"0"	"0"	"0"	"1"	"1"	"3"
"LAB_CLLPANEL_WIDE"	"Dead"	"314"	"314"	"0"	"100"	"0.255"	"0.436"	"0"	"0"	"0"	"0"	"1"	"1"	"1"
"LAB_CLLPANEL_WIDE"	"TimeTo_DeathFollowup"	"314"	"314"	"0"	"100"	"1722.325"	"854.816"	"68"	"398.79999999999995"	"1042.75"	"1530"	"2326.25"	"3279.249999999999"	"3509"
"LAB_CLLPANEL_WIDE"	"Progression"	"314"	"314"	"0"	"100"	"0.455"	"0.499"	"0"	"0"	"0"	"0"	"1"	"1"	"1"
"LAB_CLLPANEL_WIDE"	"TimeTo_PFS"	"314"	"314"	"0"	"100"	"1309.404"	"935.892"	"4"	"35"	"576.75"	"1194"	"1947.25"	"3140.8999999999987"	"3509"
"LAB_CLLPANEL_WIDE"	"Treatment"	"314"	"314"	"0"	"100"	"0.325"	"0.469"	"0"	"0"	"0"	"0"	"1"	"1"	"1"
"LAB_CLLPANEL_WIDE"	"TimeTo_Treatment"	"314"	"314"	"0"	"100"	"1309.404"	"935.892"	"4"	"35"	"576.75"	"1194"	"1947.25"	"3140.8999999999987"	"3509"
"LAB_CLLPANEL_WIDE"	"TTT"	"314"	"102"	"212"	"32.48"	"536.108"	"641.939"	"4"	"13.05"	"61.5"	"331"	"696.5"	"1798.7499999999995"	"3024"
"LAB_CLLPANEL_WIDE"	"Aged65.IPI"	"314"	"314"	"0"	"100"	"0.602"	"0.49"	"0"	"0"	"0"	"1"	"1"	"1"	"1"
"LAB_CLLPANEL_WIDE"	"Binet.IPI"	"314"	"314"	"0"	"100"	"0.131"	"0.337"	"0"	"0"	"0"	"0"	"0"	"1"	"1"
"LAB_CLLPANEL_WIDE"	"B2M.IPI"	"314"	"306"	"8"	"97.45"	"0.281"	"0.696"	"0"	"0"	"0"	"0"	"0"	"2"	"2"
"LAB_CLLPANEL_WIDE"	"IGHV.IPI"	"314"	"313"	"1"	"99.68"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"LAB_CLLPANEL_WIDE"	"del17.IPI"	"314"	"298"	"16"	"94.9"	"0.188"	"0.848"	"0"	"0"	"0"	"0"	"0"	"0"	"4"
"LAB_CLLPANEL_WIDE"	"CLL.IPI.score"	"314"	"291"	"23"	"92.68"	"1.189"	"1.432"	"0"	"0"	"0"	"1"	"1"	"4"	"8"
