"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Aged65"	">65 years"	"189"	"60.191"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Aged65"	"<65 years"	"125"	"39.809"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Aged65.IPI"	"1"	"189"	"60.191"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Aged65.IPI"	"0"	"125"	"39.809"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Anemia"	"No"	"72"	"70.588"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Anemia"	"Yes"	"21"	"20.588"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Anemia"	"Unknown"	"9"	"8.824"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"B2M"	"<4.0 mg/L"	"263"	"83.758"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"B2M"	">4.0 mg/L"	"43"	"13.694"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"B2M"	"Unknown"	"8"	"2.548"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"B2M.IPI"	"0"	"263"	"85.948"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"B2M.IPI"	"2"	"43"	"14.052"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Binet"	"A"	"273"	"86.943"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Binet"	"B"	"26"	"8.28"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Binet"	"C"	"15"	"4.777"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Binet.IPI"	"0"	"273"	"86.943"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Binet.IPI"	"1"	"41"	"13.057"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI"	"Low"	"238"	"81.787"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI"	"Intermediate"	"27"	"9.278"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI"	"High"	"22"	"7.56"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI"	"Very high"	"4"	"1.375"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI.score"	"1"	"145"	"49.828"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI.score"	"0"	"93"	"31.959"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI.score"	"3"	"21"	"7.216"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI.score"	"4"	"15"	"5.155"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI.score"	"2"	"6"	"2.062"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI.score"	"5"	"5"	"1.718"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI.score"	"7"	"3"	"1.031"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI.score"	"6"	"2"	"0.687"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"CLL.IPI.score"	"8"	"1"	"0.344"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Chemotherapy"	"Fludarabin plus/minus Cyclofosphamide"	"51"	"52.041"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Chemotherapy"	"Other"	"20"	"20.408"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Chemotherapy"	"Chlorambucil"	"15"	"15.306"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Chemotherapy"	"Bendamustin"	"12"	"12.245"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Dead"	"0"	"234"	"74.522"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Dead"	"1"	"80"	"25.478"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Del11"	"No"	"274"	"87.261"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Del11"	"Yes"	"24"	"7.643"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Del11"	"Unknown"	"16"	"5.096"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Del13"	"Yes"	"171"	"54.459"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Del13"	"No"	"127"	"40.446"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Del13"	"Unknown"	"16"	"5.096"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Del17"	"No"	"284"	"90.446"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Del17"	"Unknown"	"16"	"5.096"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Del17"	"Yes"	"14"	"4.459"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"FISH.status"	"del(13q)"	"139"	"44.268"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"FISH.status"	"Normal"	"88"	"28.025"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"FISH.status"	"Trisomy 12"	"33"	"10.51"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"FISH.status"	"del(11q)"	"24"	"7.643"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"FISH.status"	"Unknown"	"16"	"5.096"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"FISH.status"	"del(17p)"	"14"	"4.459"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"FamilialCLL"	"No"	"219"	"69.745"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"FamilialCLL"	"Unknown"	"80"	"25.478"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"FamilialCLL"	"Yes"	"15"	"4.777"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Fever"	"No"	"86"	"84.314"
"LAB_CLLPANEL_WIDE"	"LAB_CLLPANEL_WIDE"	"Fever"	"Unknown"	"12"	"11.765"
