"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"100.00"	"7195"	"97.072"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"0.00"	"101"	"1.363"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"28.43"	"2"	"0.027"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"98.88"	"2"	"0.027"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"99.37"	"2"	"0.027"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"0.06"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"0.45"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"128047"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"13.40"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"168"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"24.27"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"2962"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"32.93"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"37.99"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"47.14"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"47.50"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"48.45"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"49.32"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"49.72"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"49.84"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"494499"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"5.60"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"51.86"	"1"	"0.013"
"LAB_Flowcytometry"	"LAB_Flowcytometry"	"LEUKOCYTTER_PCT"	"57.42"	"1"	"0.013"
