"analysiscode"	"n"
"DNK35302"	"6001170"
"NPU19748"	"5827115"
"NPU18016"	"4581366"
"NPU02319"	"4468090"
"NPU03429"	"4437732"
"NPU03230"	"4253073"
"NPU02593"	"4244550"
"NPU03568"	"3952700"
"NPU01349"	"3628978"
"NPU01370"	"3562706"
"NPU04998"	"3516277"
"NPU26631"	"3453627"
"NPU19651"	"2899869"
"NPU02840"	"2674241"
"NPU02636"	"2624363"
"NPU19673"	"2427451"
"NPU01933"	"2406430"
"NPU01961"	"2374181"
"NPU19658"	"2203817"
"NPU02902"	"1975806"
"NPU27783"	"1734770"
"DNK35131"	"1722181"
"NPU01685"	"1667663"
"NPU01944"	"1522463"
"NPU18162"	"1309308"
"NPU18282"	"1265355"
"NPU01459"	"1230449"
"NPU03688"	"1218075"
"NPU04144"	"1160482"
"NPU01960"	"1088165"
"NPU27300"	"1086107"
"NPU02321"	"1081186"
"NPU28172"	"1058289"
"NPU02192"	"1029784"
"NPU01566"	"1011960"
"NPU01567"	"981889"
"NPU27412"	"924735"
"NPU19814"	"875543"
"NPU04094"	"834788"
"NPU01443"	"794813"
"NPU53077"	"785136"
"NPU02320"	"773606"
"NPU03577"	"742772"
"NPU19795"	"740568"
"NPU19825"	"739711"
"NPU19763"	"695250"
"NPU01568"	"686702"
"NPU08694"	"673594"
"NPU12474"	"665721"
"NPU03011"	"664188"
"NPU18878"	"620026"
"NPU19608"	"616231"
"NPU02508"	"562632"
"NPU01700"	"553284"
"DNK35312"	"542757"
"NPU17675"	"527746"
"NPU14267"	"489930"
"NPU03096"	"487538"
"NPU02647"	"406717"
"NPU09102"	"398788"
"NPU03978"	"398708"
"NPU19606"	"395033"
"NPU01470"	"394189"
"NPU19607"	"393848"
"NPU19677"	"393275"
"NPU08977"	"392713"
"NPU19661"	"381102"
"NPU04191"	"378271"
"NPU03976"	"373446"
"NPU04169"	"371482"
"NPU02070"	"367122"
"NPU03943"	"363081"
"NPU03974"	"349823"
"NPU03278"	"346342"
"NPU03972"	"345394"
"NPU19657"	"338433"
"NPU19653"	"327837"
"NPU21533"	"321330"
"NPU10267"	"312926"
"NPU01943"	"301799"
