"analysiscode"	"n"	"name"
"DNK35302"	"6001170"	"eGFR (CKD-EPI)"
"NPU19748"	"5827115"	"Leukocytes"
"NPU18016"	"4581366"	"Thrombocytes"
"NPU02319"	"4468090"	"Haemoglobin"
"NPU03429"	"4437732"	"Potassium"
"NPU03230"	"4253073"	"Sodium"
"NPU02593"	"4244550"	"Creatinine"
"NPU03568"	"3952700"	"Calcium (total)"
"NPU01349"	"3628978"	"Albumin"
"NPU01370"	"3562706"	"ALAT"
"NPU04998"	"3516277"	"C-reactive protein"
"NPU26631"	"3453627"	"Coagulation factor II/VII/X"
"NPU19651"	"2899869"	"Neutrophils"
"NPU02840"	"2674241"	"Glucose"
"NPU02636"	"2624363"	"LDH"
"NPU19673"	"2427451"	"Lymphocytes"
"NPU01933"	"2406430"	"Bilirubin (total)"
"NPU01961"	"2374181"	"Carbamide (urea)"
"NPU19658"	"2203817"	"Monocytes"
"NPU02902"	"1975806"	"IgG"
"NPU27783"	"1734770"	"Ferritin"
"DNK35131"	"1722181"	"DNK35131"
"NPU01685"	"1667663"	"Alkaline phosphatase"
"NPU01944"	"1522463"	"Basophil granulocytes"
"NPU18162"	"1309308"	"NPU18162"
"NPU18282"	"1265355"	"NPU18282"
"NPU01459"	"1230449"	"NPU01459"
"NPU03688"	"1218075"	"NPU03688"
"NPU04144"	"1160482"	"Magnesium"
"NPU01960"	"1088165"	"NPU01960"
"NPU27300"	"1086107"	"NPU27300"
"NPU02321"	"1081186"	"NPU02321"
"NPU28172"	"1058289"	"NPU28172"
"NPU02192"	"1029784"	"NPU02192"
"NPU01566"	"1011960"	"NPU01566"
"NPU01567"	"981889"	"NPU01567"
"NPU27412"	"924735"	"NPU27412"
"NPU19814"	"875543"	"NPU19814"
"NPU04094"	"834788"	"NPU04094"
"NPU01443"	"794813"	"NPU01443"
"NPU53077"	"785136"	"NPU53077"
"NPU02320"	"773606"	"NPU02320"
"NPU03577"	"742772"	"TSH"
"NPU19795"	"740568"	"NPU19795"
"NPU19825"	"739711"	"NPU19825"
"NPU19763"	"695250"	"NPU19763"
"NPU01568"	"686702"	"NPU01568"
"NPU08694"	"673594"	"NPU08694"
"NPU12474"	"665721"	"NPU12474"
"NPU03011"	"664188"	"NPU03011"
"NPU18878"	"620026"	"NPU18878"
"NPU19608"	"616231"	"NPU19608"
"NPU02508"	"562632"	"NPU02508"
"NPU01700"	"553284"	"NPU01700"
"DNK35312"	"542757"	"DNK35312"
"NPU17675"	"527746"	"NPU17675"
"NPU14267"	"489930"	"NPU14267"
"NPU03096"	"487538"	"NPU03096"
"NPU02647"	"406717"	"NPU02647"
"NPU09102"	"398788"	"NPU09102"
"NPU03978"	"398708"	"NPU03978"
"NPU19606"	"395033"	"NPU19606"
"NPU01470"	"394189"	"NPU01470"
"NPU19607"	"393848"	"NPU19607"
"NPU19677"	"393275"	"NPU19677"
"NPU08977"	"392713"	"NPU08977"
"NPU19661"	"381102"	"NPU19661"
"NPU04191"	"378271"	"NPU04191"
"NPU03976"	"373446"	"NPU03976"
"NPU04169"	"371482"	"NPU04169"
"NPU02070"	"367122"	"NPU02070"
"NPU03943"	"363081"	"NPU03943"
"NPU03974"	"349823"	"NPU03974"
"NPU03278"	"346342"	"NPU03278"
"NPU03972"	"345394"	"NPU03972"
"NPU19657"	"338433"	"NPU19657"
"NPU19653"	"327837"	"NPU19653"
"NPU21533"	"321330"	"NPU21533"
"NPU10267"	"312926"	"NPU10267"
"NPU01943"	"301799"	"NPU01943"
