"npu_code"	"name"	"panel"	"n_rows"	"n_patients"	"source"
"NPU02319"	"Haemoglobin"	"Haematology"	"4468090"	"64419"	"SDS_lab_forsker"
"NPU19748"	"Leukocytes"	"Haematology"	"5827115"	"64318"	"SDS_lab_forsker"
"NPU18016"	"Thrombocytes"	"Haematology"	"4581366"	"55349"	"SDS_lab_forsker"
"NPU19651"	"Neutrophils"	"Haematology"	"2899869"	"64717"	"SDS_lab_forsker"
"NPU19658"	"Monocytes"	"Haematology"	"2203817"	"64175"	"SDS_lab_forsker"
"NPU02902"	"IgG"	"Immunoglobulins"	"1975806"	"52609"	"SDS_lab_forsker"
"NPU02890"	"IgA"	"Immunoglobulins"	"0"	""	"SDS_lab_forsker"
"NPU02944"	"IgM"	"Immunoglobulins"	"0"	""	"SDS_lab_forsker"
"NPU19795"	"IgA (alt)"	"Immunoglobulins"	"740568"	"57604"	"SDS_lab_forsker"
"NPU19814"	"IgG (alt)"	"Immunoglobulins"	"875543"	"58447"	"SDS_lab_forsker"
"NPU19825"	"IgM (alt)"	"Immunoglobulins"	"739711"	"57535"	"SDS_lab_forsker"
"NPU19607"	"Free kappa chains"	"MM/Light chains"	"393848"	"31891"	"SDS_lab_forsker"
"NPU19832"	"Free kappa chains (alt)"	"MM/Light chains"	"508"	"43"	"SDS_lab_forsker"
"NPU19606"	"Free lambda chains"	"MM/Light chains"	"395033"	"31949"	"SDS_lab_forsker"
"NPU19831"	"Free lambda chains (alt)"	"MM/Light chains"	"0"	""	"SDS_lab_forsker"
"NPU01983"	"Free light chains (legacy)"	"MM/Light chains"	"0"	""	"SDS_lab_forsker"
"NPU28638"	"M-component IgG kappa"	"MM/M-component"	"240276"	"11004"	"SDS_lab_forsker"
"NPU28639"	"M-component IgG lambda"	"MM/M-component"	"118495"	"6413"	"SDS_lab_forsker"
"NPU28925"	"M-component IgG total"	"MM/M-component"	"114"	"23"	"SDS_lab_forsker"
"NPU19807"	"M-component (serum)"	"MM/M-component"	"11310"	"668"	"SDS_lab_forsker"
"NPU19809"	"M-component (urine)"	"MM/M-component"	"5365"	"370"	"SDS_lab_forsker"
"NPU28634"	"M-component IgA kappa"	"MM/M-component"	"55062"	"2256"	"SDS_lab_forsker"
"NPU28635"	"M-component IgA lambda"	"MM/M-component"	"36840"	"1677"	"SDS_lab_forsker"
"NPU28923"	"M-component IgA total"	"MM/M-component"	"762"	"104"	"SDS_lab_forsker"
"NPU19791"	"M-component IgM kappa"	"MM/M-component"	"2962"	"198"	"SDS_lab_forsker"
"NPU19793"	"M-component IgM lambda"	"MM/M-component"	"1957"	"120"	"SDS_lab_forsker"
"NPU28640"	"M-component IgD kappa"	"MM/M-component"	"87414"	"5113"	"SDS_lab_forsker"
"NPU28641"	"M-component IgD lambda"	"MM/M-component"	"30817"	"2105"	"SDS_lab_forsker"
"NPU28926"	"M-component IgD total"	"MM/M-component"	"247"	"54"	"SDS_lab_forsker"
"NPU28636"	"M-component free kappa"	"MM/M-component"	"449"	"28"	"SDS_lab_forsker"
"NPU28637"	"M-component free lambda"	"MM/M-component"	"1118"	"45"	"SDS_lab_forsker"
"NPU28924"	"M-component free total"	"MM/M-component"	"94"	"17"	"SDS_lab_forsker"
"NPU28642"	"M-component other kappa"	"MM/M-component"	"40"	"4"	"SDS_lab_forsker"
"NPU28643"	"M-component other lambda"	"MM/M-component"	"37"	"8"	"SDS_lab_forsker"
"NPU28927"	"M-component other total"	"MM/M-component"	"8"	"4"	"SDS_lab_forsker"
"NPU02593"	"Creatinine"	"Biochemistry"	"4244550"	"64362"	"SDS_lab_forsker"
"NPU04998"	"C-reactive protein"	"Biochemistry"	"3516277"	"44664"	"SDS_lab_forsker"
"NPU02636"	"LDH"	"Biochemistry"	"2624363"	"63611"	"SDS_lab_forsker"
"NPU01349"	"Albumin"	"Biochemistry"	"3628978"	"63413"	"SDS_lab_forsker"
"NPU01143"	"Calcium (ionised)"	"MM/Calcium"	"0"	""	"SDS_lab_forsker"
"NPU17123"	"Calcium (total corr)"	"MM/Calcium"	"0"	""	"SDS_lab_forsker"
"NPU04169"	"Calcium (total)"	"MM/Calcium"	"371482"	"21520"	"SDS_lab_forsker"
"NPU03568"	"Calcium (total, common)"	"MM/Calcium"	"3952700"	"64929"	"SDS_lab_forsker"
"NPU02840"	"Glucose"	"Biochemistry"	"2674241"	"63439"	"SDS_lab_forsker"
"NPU01933"	"Bilirubin (total)"	"CLL/Biochemistry"	"2406430"	"52524"	"SDS_lab_forsker"
"NPU02902"	"IgG"	"CLL/Immunoglobulins"	"1975806"	"52609"	"SDS_lab_forsker"
"NPU19679"	"Beta-2 microglobulin"	"MM/CLL staging"	"723"	"88"	"SDS_lab_forsker"
"NPU02319"	"Haemoglobin"	"Haematology"	"1497969"	"28794"	"SP_AlleProvesvar"
"NPU19748"	"Leukocytes"	"Haematology"	"1192954"	"28543"	"SP_AlleProvesvar"
"NPU18016"	"Thrombocytes"	"Haematology"	"50"	"43"	"SP_AlleProvesvar"
"NPU19651"	"Neutrophils"	"Haematology"	"1126346"	"28547"	"SP_AlleProvesvar"
"NPU19658"	"Monocytes"	"Haematology"	"785762"	"28084"	"SP_AlleProvesvar"
"NPU02902"	"IgG"	"Immunoglobulins"	"614720"	"20095"	"SP_AlleProvesvar"
"NPU02890"	"IgA"	"Immunoglobulins"	"0"	""	"SP_AlleProvesvar"
"NPU02944"	"IgM"	"Immunoglobulins"	"0"	""	"SP_AlleProvesvar"
"NPU19795"	"IgA (alt)"	"Immunoglobulins"	"241298"	"24455"	"SP_AlleProvesvar"
"NPU19814"	"IgG (alt)"	"Immunoglobulins"	"303393"	"25368"	"SP_AlleProvesvar"
