"npu_code"	"name"	"panel"	"total_rows"	"max_patients"	"sources"	"n_sources"
"NPU02593"	"Creatinine"	"Biochemistry"	"6953257"	"64362"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU04998"	"C-reactive protein"	"Biochemistry"	"5993108"	"44664"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU01349"	"Albumin"	"Biochemistry"	"5394844"	"63413"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU02840"	"Glucose"	"Biochemistry"	"4443323"	"63439"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU02636"	"LDH"	"Biochemistry"	"4402922"	"63611"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU01933"	"Bilirubin (total)"	"CLL/Biochemistry"	"4067076"	"52524"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU02902"	"IgG"	"CLL/Immunoglobulins"	"3336934"	"52609"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU19748"	"Leukocytes"	"Haematology"	"8248546"	"64318"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU02319"	"Haemoglobin"	"Haematology"	"7480346"	"64419"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU18016"	"Thrombocytes"	"Haematology"	"4994471"	"55349"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU19651"	"Neutrophils"	"Haematology"	"4877181"	"64717"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU19658"	"Monocytes"	"Haematology"	"3793765"	"64175"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU02902"	"IgG"	"Immunoglobulins"	"3336934"	"52609"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU19814"	"IgG (alt)"	"Immunoglobulins"	"1457234"	"58447"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU19825"	"IgM (alt)"	"Immunoglobulins"	"1224866"	"57535"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU19795"	"IgA (alt)"	"Immunoglobulins"	"1221213"	"57604"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU02890"	"IgA"	"Immunoglobulins"	"0"	"-Inf"	""	"0"
"NPU02944"	"IgM"	"Immunoglobulins"	"0"	"-Inf"	""	"0"
"NPU19679"	"Beta-2 microglobulin"	"MM/CLL staging"	"767"	"88"	"SDS_lab_forsker + PERSIMUNE_biochemistry"	"2"
"NPU03568"	"Calcium (total, common)"	"MM/Calcium"	"6471556"	"64929"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU04169"	"Calcium (total)"	"MM/Calcium"	"457489"	"21520"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU01143"	"Calcium (ionised)"	"MM/Calcium"	"0"	"-Inf"	""	"0"
"NPU17123"	"Calcium (total corr)"	"MM/Calcium"	"0"	"-Inf"	""	"0"
"NPU19607"	"Free kappa chains"	"MM/Light chains"	"643508"	"31891"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU19606"	"Free lambda chains"	"MM/Light chains"	"642543"	"31949"	"SDS_lab_forsker + SP_AlleProvesvar + PERSIMUNE_biochemistry"	"3"
"NPU19832"	"Free kappa chains (alt)"	"MM/Light chains"	"655"	"43"	"SDS_lab_forsker + PERSIMUNE_biochemistry"	"2"
"NPU19831"	"Free lambda chains (alt)"	"MM/Light chains"	"71"	"41"	"SP_AlleProvesvar + PERSIMUNE_biochemistry"	"2"
