"database"	"schema"	"table"	"full_ref"
"import"	"public"	"PERSIMUNE_biochemistry"	"import.public.PERSIMUNE_biochemistry"
"import"	"public"	"PERSIMUNE_blodbank_bloodtype"	"import.public.PERSIMUNE_blodbank_bloodtype"
"import"	"public"	"PERSIMUNE_blodbank_multiplate"	"import.public.PERSIMUNE_blodbank_multiplate"
"import"	"public"	"PERSIMUNE_blodbank_teg"	"import.public.PERSIMUNE_blodbank_teg"
"import"	"public"	"PERSIMUNE_blodbank_transfusions"	"import.public.PERSIMUNE_blodbank_transfusions"
"import"	"public"	"PERSIMUNE_microbiology_analysis"	"import.public.PERSIMUNE_microbiology_analysis"
"import"	"public"	"PERSIMUNE_microbiology_analysis_part1"	"import.public.PERSIMUNE_microbiology_analysis_part1"
"import"	"public"	"PERSIMUNE_microbiology_analysis_part2"	"import.public.PERSIMUNE_microbiology_analysis_part2"
"import"	"public"	"PERSIMUNE_microbiology_culture"	"import.public.PERSIMUNE_microbiology_culture"
"import"	"public"	"PERSIMUNE_microbiology_culture_resistance"	"import.public.PERSIMUNE_microbiology_culture_resistance"
"import"	"public"	"PERSIMUNE_microbiology_culture_resistance_2"	"import.public.PERSIMUNE_microbiology_culture_resistance_2"
"import"	"public"	"PERSIMUNE_microbiology_cultures_part1"	"import.public.PERSIMUNE_microbiology_cultures_part1"
"import"	"public"	"PERSIMUNE_microbiology_cultures_part2"	"import.public.PERSIMUNE_microbiology_cultures_part2"
"import"	"public"	"PERSIMUNE_microbiology_extra"	"import.public.PERSIMUNE_microbiology_extra"
"import"	"public"	"PERSIMUNE_microbiology_extra_2"	"import.public.PERSIMUNE_microbiology_extra_2"
"import"	"public"	"PERSIMUNE_microbiology_microscopy"	"import.public.PERSIMUNE_microbiology_microscopy"
"import"	"public"	"PERSIMUNE_microbiology_microscopy_2"	"import.public.PERSIMUNE_microbiology_microscopy_2"
"import"	"public"	"PERSIMUNE_radiology"	"import.public.PERSIMUNE_radiology"
"import"	"public"	"RKKP_CLL"	"import.public.RKKP_CLL"
"import"	"public"	"RKKP_DaMyDa"	"import.public.RKKP_DaMyDa"
"import"	"public"	"RKKP_LYFO"	"import.public.RKKP_LYFO"
"import"	"public"	"SDS_diagnoser"	"import.public.SDS_diagnoser"
"import"	"public"	"SDS_doso_tekster"	"import.public.SDS_doso_tekster"
"import"	"public"	"SDS_ekokur"	"import.public.SDS_ekokur"
"import"	"public"	"SDS_epikur"	"import.public.SDS_epikur"
"import"	"public"	"SDS_forloeb"	"import.public.SDS_forloeb"
"import"	"public"	"SDS_forloebsmarkoerer"	"import.public.SDS_forloebsmarkoerer"
"import"	"public"	"SDS_indberetningmedpris"	"import.public.SDS_indberetningmedpris"
"import"	"public"	"SDS_indo_tekster"	"import.public.SDS_indo_tekster"
"import"	"public"	"SDS_koder"	"import.public.SDS_koder"
"import"	"public"	"SDS_kontakter"	"import.public.SDS_kontakter"
"import"	"public"	"SDS_lab_forsker"	"import.public.SDS_lab_forsker"
"import"	"public"	"SDS_lab_labidcodes"	"import.public.SDS_lab_labidcodes"
"import"	"public"	"SDS_lab_optaelling"	"import.public.SDS_lab_optaelling"
"import"	"public"	"SDS_laegemiddel"	"import.public.SDS_laegemiddel"
"import"	"public"	"SDS_laegemiddeloplysninger"	"import.public.SDS_laegemiddeloplysninger"
"import"	"public"	"SDS_organisationer"	"import.public.SDS_organisationer"
"import"	"public"	"SDS_pato"	"import.public.SDS_pato"
"import"	"public"	"SDS_procedurer_andre"	"import.public.SDS_procedurer_andre"
"import"	"public"	"SDS_procedurer_kirurgi"	"import.public.SDS_procedurer_kirurgi"
"import"	"public"	"SDS_resultater"	"import.public.SDS_resultater"
"import"	"public"	"SDS_samlet_population"	"import.public.SDS_samlet_population"
"import"	"public"	"SDS_t_adm"	"import.public.SDS_t_adm"
"import"	"public"	"SDS_t_diag"	"import.public.SDS_t_diag"
"import"	"public"	"SDS_t_dodsaarsag_2"	"import.public.SDS_t_dodsaarsag_2"
"import"	"public"	"SDS_t_konk_ny"	"import.public.SDS_t_konk_ny"
"import"	"public"	"SDS_t_mikro_ny"	"import.public.SDS_t_mikro_ny"
"import"	"public"	"SDS_t_sksopr"	"import.public.SDS_t_sksopr"
"import"	"public"	"SDS_t_sksube"	"import.public.SDS_t_sksube"
"import"	"public"	"SDS_t_tumor"	"import.public.SDS_t_tumor"
"import"	"public"	"SDS_t_udtilsgh"	"import.public.SDS_t_udtilsgh"
"import"	"public"	"SDS_t_vaevsanvend_markoer"	"import.public.SDS_t_vaevsanvend_markoer"
"import"	"public"	"SP_AdministreretMedicin"	"import.public.SP_AdministreretMedicin"
"import"	"public"	"SP_ADT_haendelser"	"import.public.SP_ADT_haendelser"
"import"	"public"	"SP_AktiveProblemlisteDiagnoser"	"import.public.SP_AktiveProblemlisteDiagnoser"
"import"	"public"	"SP_AlleProvesvar"	"import.public.SP_AlleProvesvar"
"import"	"public"	"SP_BehandlingskontakterOgDiagnoser"	"import.public.SP_BehandlingskontakterOgDiagnoser"
"import"	"public"	"SP_Behandlingsniveau"	"import.public.SP_Behandlingsniveau"
"import"	"public"	"SP_Behandlingsplaner_Del1"	"import.public.SP_Behandlingsplaner_Del1"
"import"	"public"	"SP_Behandlingsplaner_Del2"	"import.public.SP_Behandlingsplaner_Del2"
"import"	"public"	"SP_BilleddiagnostiskeUndersøgelser_Del1"	"import.public.SP_BilleddiagnostiskeUndersøgelser_Del1"
"import"	"public"	"SP_Bloddyrkning_del1"	"import.public.SP_Bloddyrkning_del1"
"import"	"public"	"SP_Bloddyrkning_del2"	"import.public.SP_Bloddyrkning_del2"
"import"	"public"	"SP_Bloddyrkning_del3"	"import.public.SP_Bloddyrkning_del3"
"import"	"public"	"SP_Bloddyrkning_del4"	"import.public.SP_Bloddyrkning_del4"
"import"	"public"	"SP_Flytningshistorik"	"import.public.SP_Flytningshistorik"
"import"	"public"	"SP_ITAOphold"	"import.public.SP_ITAOphold"
"import"	"public"	"SP_Journalnotater_Del1"	"import.public.SP_Journalnotater_Del1"
"import"	"public"	"SP_Journalnotater_Del2"	"import.public.SP_Journalnotater_Del2"
"import"	"public"	"SP_OrdineretMedicin"	"import.public.SP_OrdineretMedicin"
"import"	"public"	"SP_PatientInfo"	"import.public.SP_PatientInfo"
"import"	"public"	"SP_Social_Hx"	"import.public.SP_Social_Hx"
"import"	"public"	"SP_VitaleVaerdier"	"import.public.SP_VitaleVaerdier"
"import"	"public"	"view_definition_first_diagnosis"	"import.public.view_definition_first_diagnosis"
"import"	"public"	"view_definition_first_diagnosis_malignant"	"import.public.view_definition_first_diagnosis_malignant"
"import"	"public"	"view_sds_kont_diag"	"import.public.view_sds_kont_diag"
"import"	"public"	"view_sds_t_adm_t_diag"	"import.public.view_sds_t_adm_t_diag"
"import"	"public"	"view_sds_t_adm_t_sksopr"	"import.public.view_sds_t_adm_t_sksopr"
"import"	"public"	"view_sds_t_adm_t_sksube"	"import.public.view_sds_t_adm_t_sksube"
"import"	"laboratory"	"LAB_BIOBANK_SAMPLES"	"import.laboratory.LAB_BIOBANK_SAMPLES"
"import"	"laboratory"	"LAB_CLLPANEL_C_P"	"import.laboratory.LAB_CLLPANEL_C_P"
"import"	"laboratory"	"LAB_CLLPANEL_DIAG"	"import.laboratory.LAB_CLLPANEL_DIAG"
"import"	"laboratory"	"LAB_CLLPANEL_WIDE"	"import.laboratory.LAB_CLLPANEL_WIDE"
"import"	"laboratory"	"LAB_deCODE_manifest"	"import.laboratory.LAB_deCODE_manifest"
"import"	"laboratory"	"LAB_Flowcytometry"	"import.laboratory.LAB_Flowcytometry"
"import"	"laboratory"	"LAB_GMS_252_CDS_headings"	"import.laboratory.LAB_GMS_252_CDS_headings"
"import"	"laboratory"	"LAB_IGHV_sequences"	"import.laboratory.LAB_IGHV_sequences"
"import"	"laboratory"	"LAB_IGHV_subset2_AALBORG"	"import.laboratory.LAB_IGHV_subset2_AALBORG"
"import"	"laboratory"	"LAB_IGHVIMGT"	"import.laboratory.LAB_IGHVIMGT"
"import"	"laboratory"	"LAB_IGHVIMGT_AALBORG"	"import.laboratory.LAB_IGHVIMGT_AALBORG"
"import"	"laboratory"	"LAB_TP53_Clinical_genetics_MKA"	"import.laboratory.LAB_TP53_Clinical_genetics_MKA"
"import"	"laboratory"	"LAB_TP53_Clinical_genetics_MKA_20241113"	"import.laboratory.LAB_TP53_Clinical_genetics_MKA_20241113"
"import"	"laboratory"	"MM_HDT_CHIP"	"import.laboratory.MM_HDT_CHIP"
"core"	"public"	"adm_medicine"	"core.public.adm_medicine"
"core"	"public"	"AE_AKI"	"core.public.AE_AKI"
"core"	"public"	"comorbidity_and_ae_table"	"core.public.comorbidity_and_ae_table"
"core"	"public"	"diagnoses_all"	"core.public.diagnoses_all"
"core"	"public"	"IPI"	"core.public.IPI"
"core"	"public"	"laboratorymeasurements"	"core.public.laboratorymeasurements"
"core"	"public"	"patient"	"core.public.patient"
"core"	"public"	"RECEPTDATA_CLEAN"	"core.public.RECEPTDATA_CLEAN"
"core"	"public"	"RKKP_CLL_CLEAN"	"core.public.RKKP_CLL_CLEAN"
"core"	"public"	"RKKP_DaMyDa_CLEAN"	"core.public.RKKP_DaMyDa_CLEAN"
"core"	"public"	"RKKP_LYFO_CLEAN"	"core.public.RKKP_LYFO_CLEAN"
"core"	"public"	"t_antineoplastic_treatment"	"core.public.t_antineoplastic_treatment"
"core"	"public"	"t_antineoplastic_treatment_draft_20250616"	"core.public.t_antineoplastic_treatment_draft_20250616"
"core"	"public"	"t_dalycare_diagnoses"	"core.public.t_dalycare_diagnoses"
"core"	"public"	"t_dalycare_diagnoses_SLL_MZL_MZL"	"core.public.t_dalycare_diagnoses_SLL_MZL_MZL"
"core"	"public"	"view_diagnoses_all_distinct"	"core.public.view_diagnoses_all_distinct"
"core"	"curated"	"CLL_TREAT"	"core.curated.CLL_TREAT"
"core"	"curated"	"CLL_TREAT_AE"	"core.curated.CLL_TREAT_AE"
"core"	"curated"	"CLL_TREAT_CLEAN"	"core.curated.CLL_TREAT_CLEAN"
"core"	"curated"	"CLL_TREAT_IBRUTINIB"	"core.curated.CLL_TREAT_IBRUTINIB"
"core"	"curated"	"CLL_TREAT_IBRUTINIB_AE"	"core.curated.CLL_TREAT_IBRUTINIB_AE"
"core"	"curated"	"CLL_TREAT_VENETOCLAX_ROSKILDE"	"core.curated.CLL_TREAT_VENETOCLAX_ROSKILDE"
"core"	"curated"	"Plasmacelleleukemi_DATA_2025_06_22_1754"	"core.curated.Plasmacelleleukemi_DATA_2025_06_22_1754"
"core"	"curated"	"REQUIRE_PERMISSION_MM_TREAT_DARA"	"core.curated.REQUIRE_PERMISSION_MM_TREAT_DARA"
"import"	"_lookup_tables"	"Codes_ATC"	"import._lookup_tables.Codes_ATC"
"import"	"_lookup_tables"	"Codes_DIAG_CODE_CHANGES"	"import._lookup_tables.Codes_DIAG_CODE_CHANGES"
"import"	"_lookup_tables"	"Codes_DST_DIAG_CODES"	"import._lookup_tables.Codes_DST_DIAG_CODES"
"import"	"_lookup_tables"	"Codes_hospital"	"import._lookup_tables.Codes_hospital"
"import"	"_lookup_tables"	"Codes_NPU"	"import._lookup_tables.Codes_NPU"
"import"	"_lookup_tables"	"CODES_NPU"	"import._lookup_tables.CODES_NPU"
"import"	"_lookup_tables"	"CODES_NPU2PERSIMUNE"	"import._lookup_tables.CODES_NPU2PERSIMUNE"
"import"	"_lookup_tables"	"Codes_SHAK_long"	"import._lookup_tables.Codes_SHAK_long"
