"dataset"	"column"	"type"	"position"
"MM_TREAT_DARA"	"record_id"	"integer"	"1"
"MM_TREAT_DARA"	"redcap_repeat_instrument"	"character"	"2"
"MM_TREAT_DARA"	"redcap_repeat_instance"	"integer"	"3"
"MM_TREAT_DARA"	"kon"	"integer"	"4"
"MM_TREAT_DARA"	"fodselsdato"	"Date"	"5"
"MM_TREAT_DARA"	"diagnosedato"	"Date"	"6"
"MM_TREAT_DARA"	"aldervd"	"integer"	"7"
"MM_TREAT_DARA"	"aktuelstatus"	"integer"	"8"
"MM_TREAT_DARA"	"dodsdato"	"Date"	"9"
"MM_TREAT_DARA"	"sidstdato"	"Date"	"10"
"MM_TREAT_DARA"	"afsluttetdato"	"Date"	"11"
"MM_TREAT_DARA"	"patientoplysninger_complete"	"integer"	"12"
"MM_TREAT_DARA"	"fishdone"	"integer"	"13"
"MM_TREAT_DARA"	"fishresultat___1"	"integer"	"14"
"MM_TREAT_DARA"	"fishresultat___2"	"integer"	"15"
"MM_TREAT_DARA"	"fishresultat___3"	"integer"	"16"
"MM_TREAT_DARA"	"fishresultat___4"	"integer"	"17"
"MM_TREAT_DARA"	"fishresultat___5"	"integer"	"18"
"MM_TREAT_DARA"	"fishresultat___6"	"integer"	"19"
"MM_TREAT_DARA"	"fishresultat___7"	"integer"	"20"
"MM_TREAT_DARA"	"fishresultat___8"	"integer"	"21"
"MM_TREAT_DARA"	"fishresultat___9"	"integer"	"22"
"MM_TREAT_DARA"	"fishresultat___10"	"integer"	"23"
"MM_TREAT_DARA"	"fishresultat___11"	"integer"	"24"
"MM_TREAT_DARA"	"fishresultat___12"	"integer"	"25"
"MM_TREAT_DARA"	"fish_complete"	"integer"	"26"
"MM_TREAT_DARA"	"linjestart"	"Date"	"27"
"MM_TREAT_DARA"	"ophort"	"integer"	"28"
"MM_TREAT_DARA"	"linjeslut"	"Date"	"29"
"MM_TREAT_DARA"	"drugs___1"	"integer"	"30"
"MM_TREAT_DARA"	"drugs___2"	"integer"	"31"
"MM_TREAT_DARA"	"drugs___3"	"integer"	"32"
"MM_TREAT_DARA"	"drugs___4"	"integer"	"33"
"MM_TREAT_DARA"	"drugs___5"	"integer"	"34"
"MM_TREAT_DARA"	"drugs___6"	"integer"	"35"
"MM_TREAT_DARA"	"drugs___7"	"integer"	"36"
"MM_TREAT_DARA"	"drugs___8"	"integer"	"37"
"MM_TREAT_DARA"	"drugs___9"	"integer"	"38"
"MM_TREAT_DARA"	"drugs___22"	"integer"	"39"
"MM_TREAT_DARA"	"drugs___10"	"integer"	"40"
"MM_TREAT_DARA"	"drugs___11"	"integer"	"41"
"MM_TREAT_DARA"	"drugs___12"	"integer"	"42"
"MM_TREAT_DARA"	"drugs___13"	"integer"	"43"
"MM_TREAT_DARA"	"drugs___14"	"integer"	"44"
"MM_TREAT_DARA"	"drugs___15"	"integer"	"45"
"MM_TREAT_DARA"	"drugs___16"	"integer"	"46"
"MM_TREAT_DARA"	"drugs___17"	"integer"	"47"
"MM_TREAT_DARA"	"drugs___18"	"integer"	"48"
"MM_TREAT_DARA"	"drugs___19"	"integer"	"49"
"MM_TREAT_DARA"	"drugs___20"	"integer"	"50"
"MM_TREAT_DARA"	"drugs___21"	"integer"	"51"
"MM_TREAT_DARA"	"drugsandet"	"character"	"52"
"MM_TREAT_DARA"	"protokol"	"integer"	"53"
"MM_TREAT_DARA"	"hdt"	"integer"	"54"
"MM_TREAT_DARA"	"hdtdato"	"Date"	"55"
"MM_TREAT_DARA"	"konsolidering"	"integer"	"56"
"MM_TREAT_DARA"	"konsolideringdrugs"	"character"	"57"
"MM_TREAT_DARA"	"vedligeholdelse"	"integer"	"58"
"MM_TREAT_DARA"	"vedligeholdelsedrugs"	"character"	"59"
"MM_TREAT_DARA"	"ophorsarsag"	"integer"	"60"
"MM_TREAT_DARA"	"angivtoks___1"	"integer"	"61"
"MM_TREAT_DARA"	"angivtoks___2"	"integer"	"62"
"MM_TREAT_DARA"	"angivtoks___3"	"integer"	"63"
"MM_TREAT_DARA"	"angivtoks___4"	"integer"	"64"
"MM_TREAT_DARA"	"angivtoks___5"	"integer"	"65"
"MM_TREAT_DARA"	"angivtoks___6"	"integer"	"66"
"MM_TREAT_DARA"	"angivtoks___7"	"integer"	"67"
"MM_TREAT_DARA"	"angivtoks___8"	"integer"	"68"
"MM_TREAT_DARA"	"angivtoks___9"	"integer"	"69"
"MM_TREAT_DARA"	"angivtoks___10"	"integer"	"70"
"MM_TREAT_DARA"	"angivtoks___11"	"integer"	"71"
"MM_TREAT_DARA"	"angivtoks___12"	"integer"	"72"
"MM_TREAT_DARA"	"angivtoks___13"	"integer"	"73"
"MM_TREAT_DARA"	"angivtoks___14"	"integer"	"74"
"MM_TREAT_DARA"	"angivtoks___15"	"integer"	"75"
"MM_TREAT_DARA"	"toksandet"	"character"	"76"
"MM_TREAT_DARA"	"ophorsarsagandet"	"character"	"77"
"MM_TREAT_DARA"	"respons"	"integer"	"78"
"MM_TREAT_DARA"	"myelomatose_behandlingslinje_complete"	"integer"	"79"
"MM_TREAT_DARA"	"cytfishlavet"	"integer"	"80"
"MM_TREAT_DARA"	"cytfishdato"	"Date"	"81"
"MM_TREAT_DARA"	"cytfishplasmaid"	"integer"	"82"
"MM_TREAT_DARA"	"cytfishprober___1"	"integer"	"83"
"MM_TREAT_DARA"	"cytfishprober___2"	"integer"	"84"
"MM_TREAT_DARA"	"cytfishprober___3"	"integer"	"85"
"MM_TREAT_DARA"	"cytfishprober___4"	"integer"	"86"
"MM_TREAT_DARA"	"cytfishprober___5"	"integer"	"87"
"MM_TREAT_DARA"	"cytfishprober___6"	"integer"	"88"
"MM_TREAT_DARA"	"cytfishprober___7"	"integer"	"89"
"MM_TREAT_DARA"	"cytfishprober___8"	"integer"	"90"
"MM_TREAT_DARA"	"cytfishprober___9"	"integer"	"91"
"MM_TREAT_DARA"	"cytfishprober___10"	"integer"	"92"
"MM_TREAT_DARA"	"cytfishprober___11"	"integer"	"93"
"MM_TREAT_DARA"	"cytfishprobeanden"	"character"	"94"
"MM_TREAT_DARA"	"cytfishfund___1"	"integer"	"95"
"MM_TREAT_DARA"	"cytfishfund___2"	"integer"	"96"
"MM_TREAT_DARA"	"cytfishfund___3"	"integer"	"97"
"MM_TREAT_DARA"	"cytfishfund___4"	"integer"	"98"
"MM_TREAT_DARA"	"cytfishfund___5"	"integer"	"99"
"MM_TREAT_DARA"	"cytfishfund___6"	"integer"	"100"
"MM_TREAT_DARA"	"cytfishfund___7"	"integer"	"101"
"MM_TREAT_DARA"	"cytfishfund___8"	"integer"	"102"
"MM_TREAT_DARA"	"cytfishfund___9"	"integer"	"103"
"MM_TREAT_DARA"	"cytfishfund___10"	"integer"	"104"
"MM_TREAT_DARA"	"cytfishfund___11"	"integer"	"105"
"MM_TREAT_DARA"	"fish_cytogenetiker_gennemgang_2020_complete"	"integer"	"106"
"MM_TREAT_DARA"	"redcap_repeat_instrument.factor"	"character"	"107"
"MM_TREAT_DARA"	"kon.factor"	"character"	"108"
"MM_TREAT_DARA"	"aktuelstatus.factor"	"character"	"109"
"MM_TREAT_DARA"	"patientoplysninger_complete.factor"	"character"	"110"
"MM_TREAT_DARA"	"fishdone.factor"	"character"	"111"
"MM_TREAT_DARA"	"fishresultat___1.factor"	"character"	"112"
"MM_TREAT_DARA"	"fishresultat___2.factor"	"character"	"113"
"MM_TREAT_DARA"	"fishresultat___3.factor"	"character"	"114"
"MM_TREAT_DARA"	"fishresultat___4.factor"	"character"	"115"
"MM_TREAT_DARA"	"fishresultat___5.factor"	"character"	"116"
"MM_TREAT_DARA"	"fishresultat___6.factor"	"character"	"117"
"MM_TREAT_DARA"	"fishresultat___7.factor"	"character"	"118"
"MM_TREAT_DARA"	"fishresultat___8.factor"	"character"	"119"
"MM_TREAT_DARA"	"fishresultat___9.factor"	"character"	"120"
"MM_TREAT_DARA"	"fishresultat___10.factor"	"character"	"121"
"MM_TREAT_DARA"	"fishresultat___11.factor"	"character"	"122"
"MM_TREAT_DARA"	"fishresultat___12.factor"	"character"	"123"
"MM_TREAT_DARA"	"fish_complete.factor"	"character"	"124"
"MM_TREAT_DARA"	"ophort.factor"	"character"	"125"
"MM_TREAT_DARA"	"drugs___1.factor"	"character"	"126"
"MM_TREAT_DARA"	"drugs___2.factor"	"character"	"127"
"MM_TREAT_DARA"	"drugs___3.factor"	"character"	"128"
"MM_TREAT_DARA"	"drugs___4.factor"	"character"	"129"
"MM_TREAT_DARA"	"drugs___5.factor"	"character"	"130"
"MM_TREAT_DARA"	"drugs___6.factor"	"character"	"131"
"MM_TREAT_DARA"	"drugs___7.factor"	"character"	"132"
"MM_TREAT_DARA"	"drugs___8.factor"	"character"	"133"
"MM_TREAT_DARA"	"drugs___9.factor"	"character"	"134"
"MM_TREAT_DARA"	"drugs___22.factor"	"character"	"135"
"MM_TREAT_DARA"	"drugs___10.factor"	"character"	"136"
"MM_TREAT_DARA"	"drugs___11.factor"	"character"	"137"
"MM_TREAT_DARA"	"drugs___12.factor"	"character"	"138"
"MM_TREAT_DARA"	"drugs___13.factor"	"character"	"139"
"MM_TREAT_DARA"	"drugs___14.factor"	"character"	"140"
"MM_TREAT_DARA"	"drugs___15.factor"	"character"	"141"
"MM_TREAT_DARA"	"drugs___16.factor"	"character"	"142"
"MM_TREAT_DARA"	"drugs___17.factor"	"character"	"143"
"MM_TREAT_DARA"	"drugs___18.factor"	"character"	"144"
"MM_TREAT_DARA"	"drugs___19.factor"	"character"	"145"
"MM_TREAT_DARA"	"drugs___20.factor"	"character"	"146"
"MM_TREAT_DARA"	"drugs___21.factor"	"character"	"147"
"MM_TREAT_DARA"	"protokol.factor"	"character"	"148"
"MM_TREAT_DARA"	"hdt.factor"	"character"	"149"
"MM_TREAT_DARA"	"konsolidering.factor"	"character"	"150"
"MM_TREAT_DARA"	"vedligeholdelse.factor"	"character"	"151"
"MM_TREAT_DARA"	"ophorsarsag.factor"	"character"	"152"
"MM_TREAT_DARA"	"angivtoks___1.factor"	"character"	"153"
"MM_TREAT_DARA"	"angivtoks___2.factor"	"character"	"154"
"MM_TREAT_DARA"	"angivtoks___3.factor"	"character"	"155"
"MM_TREAT_DARA"	"angivtoks___4.factor"	"character"	"156"
"MM_TREAT_DARA"	"angivtoks___5.factor"	"character"	"157"
"MM_TREAT_DARA"	"angivtoks___6.factor"	"character"	"158"
"MM_TREAT_DARA"	"angivtoks___7.factor"	"character"	"159"
"MM_TREAT_DARA"	"angivtoks___8.factor"	"character"	"160"
"MM_TREAT_DARA"	"angivtoks___9.factor"	"character"	"161"
"MM_TREAT_DARA"	"angivtoks___10.factor"	"character"	"162"
