"dataset"	"domain"	"description"	"db_location"	"n_rows"	"n_cols"	"n_patients"	"date_min"	"date_max"	"status"
"SDS_t_mikro"	"SDS"	"PATOBANK microscopy free-text"	"import.public.SDS_t_mikro_ny"	"9807682"	"7"	""	"2023-05-04"	"2024-11-16"	"resolved"
"SDS_t_konk"	"SDS"	"PATOBANK conclusions free-text"	"import.public.SDS_t_konk_ny"	"2341363"	"7"	""	"2023-05-04"	"2024-11-16"	"resolved"
"SDS_t_doedsaarsag"	"SDS"	"Cause of death register"	""	""	""	""	""	""	"not_found"
"SDS_procedure_kirurgi"	"SDS"	"LPR3 surgical procedures"	"import.public.SDS_procedurer_kirurgi"	"1027614"	"16"	""	"2018-07-12"	"2024-11-17"	"resolved"
"SDS_procedure_andre"	"SDS"	"LPR3 other procedures"	"import.public.SDS_procedurer_andre"	"27668088"	"17"	""	"2018-07-16"	"2024-11-17"	"resolved"
"SP_Administreret_Medicin"	"SP"	"In-hospital administered medicine"	"import.public.SP_AdministreretMedicin"	"24913473"	"15"	"26617"	""	""	"resolved"
"SP_ADT_Haendelser"	"SP"	"Admissions / ADT events"	"import.public.SP_ADT_haendelser"	"9819261"	"17"	"28464"	""	""	"resolved"
"SP_Aktive_Problemliste_Diagnoser"	"SP"	"Active in-hospital diagnoses"	""	""	""	""	""	""	"not_found"
"SP_Behandlingskontakter_diagnoser"	"SP"	"Visits and diagnoses"	""	""	""	""	""	""	"not_found"
"SP_Behandlingsplaner_del1"	"SP"	"Treatment plans (protocol names)"	"import.public.SP_Behandlingsplaner_Del1"	"42945"	"17"	"11958"	""	""	"resolved"
"SP_Behandlingsplaner_del2"	"SP"	"Treatment plans (cycle details)"	"import.public.SP_Behandlingsplaner_Del2"	"255328"	"8"	"11742"	""	""	"resolved"
"SP_Journalnotater_del1"	"SP"	"Medical notes free-text"	"import.public.SP_Journalnotater_Del1"	"12311961"	"10"	"29892"	""	""	"resolved"
"SP_Journalnotater_del2"	"SP"	"Medical note metadata"	"import.public.SP_Journalnotater_Del2"	"16987499"	"5"	""	"2016-05-10"	"2025-08-19"	"resolved"
"SP_BilleddiagnostikeUndersoegelser_Del1"	"SP"	"Medical imaging metadata"	""	""	""	""	""	""	"not_found"
"SP_BilleddiagnostikeUndersoegelser_Del2"	"SP"	"Medical imaging free-text"	""	""	""	""	""	""	"not_found"
"LAB_FISH"	"Laboratory"	"FISH cytogenetics reports"	""	""	""	""	""	""	"not_found"
"MM_TREAT_DARA"	"Curated"	"MM daratumumab cohort"	"core.curated.REQUIRE_PERMISSION_MM_TREAT_DARA"	"4299"	"195"	"628"	"1926-06-20"	"1982-05-04"	"resolved"
"DANRICHT"	"Curated"	"Richter transformation cohort"	""	""	""	""	""	""	"not_found"
