"dataset"	"column"	"type"	"position"
"SDS_procedure_andre"	"dw_ek_forloeb"	"character"	"1"
"SDS_procedure_andre"	"dw_ek_kontakt"	"character"	"2"
"SDS_procedure_andre"	"procedurekode"	"character"	"3"
"SDS_procedure_andre"	"proceduretype"	"character"	"4"
"SDS_procedure_andre"	"procedurekode_parent"	"character"	"5"
"SDS_procedure_andre"	"proceduretype_parent"	"character"	"6"
"SDS_procedure_andre"	"sorenhed_pro"	"character"	"7"
"SDS_procedure_andre"	"region_pro"	"character"	"8"
"SDS_procedure_andre"	"dato_start"	"POSIXct"	"9"
"SDS_procedure_andre"	"tidspunkt_start"	"character"	"10"
"SDS_procedure_andre"	"dato_slut"	"POSIXct"	"11"
"SDS_procedure_andre"	"tidspunkt_slut"	"character"	"12"
"SDS_procedure_andre"	"dato_indberetning"	"POSIXct"	"13"
"SDS_procedure_andre"	"tidspunkt_indberetning"	"character"	"14"
"SDS_procedure_andre"	"lprindberetningssystem"	"character"	"15"
"SDS_procedure_andre"	"date_received"	"Date"	"16"
"SDS_procedure_andre"	"datetime_created"	"POSIXct"	"17"
