"dataset"	"column"	"type"	"position"
"SDS_procedure_kirurgi"	"dw_ek_forloeb"	"character"	"1"
"SDS_procedure_kirurgi"	"dw_ek_kontakt"	"character"	"2"
"SDS_procedure_kirurgi"	"procedurekode"	"character"	"3"
"SDS_procedure_kirurgi"	"proceduretype"	"character"	"4"
"SDS_procedure_kirurgi"	"procedurekode_parent"	"character"	"5"
"SDS_procedure_kirurgi"	"proceduretype_parent"	"character"	"6"
"SDS_procedure_kirurgi"	"sorenhed_pro"	"character"	"7"
"SDS_procedure_kirurgi"	"dato_start"	"POSIXct"	"8"
"SDS_procedure_kirurgi"	"tidspunkt_start"	"hms"	"9"
"SDS_procedure_kirurgi"	"dato_slut"	"POSIXct"	"10"
"SDS_procedure_kirurgi"	"tidspunkt_slut"	"hms"	"11"
"SDS_procedure_kirurgi"	"dato_indberetning"	"POSIXct"	"12"
"SDS_procedure_kirurgi"	"tidspunkt_indberetning"	"hms"	"13"
"SDS_procedure_kirurgi"	"lprindberetningssystem"	"character"	"14"
"SDS_procedure_kirurgi"	"date_received"	"Date"	"15"
"SDS_procedure_kirurgi"	"datetime_created"	"POSIXct"	"16"
