"dataset"	"column"	"type"	"position"
"SP_Administreret_Medicin"	"taken_time"	"POSIXct"	"2"
"SP_Administreret_Medicin"	"atc"	"character"	"3"
"SP_Administreret_Medicin"	"medication_id"	"integer"	"4"
"SP_Administreret_Medicin"	"sig"	"character"	"5"
"SP_Administreret_Medicin"	"zc_med_unit_name"	"character"	"6"
"SP_Administreret_Medicin"	"zc_admin_route_name"	"character"	"7"
"SP_Administreret_Medicin"	"medication_name"	"character"	"8"
"SP_Administreret_Medicin"	"mar_action_c"	"integer"	"9"
"SP_Administreret_Medicin"	"name"	"character"	"10"
"SP_Administreret_Medicin"	"date_received"	"Date"	"11"
"SP_Administreret_Medicin"	"datetime_created"	"POSIXct"	"12"
"SP_Administreret_Medicin"	"plan_id"	"integer"	"13"
"SP_Administreret_Medicin"	"region_name"	"character"	"14"
"SP_Administreret_Medicin"	"hospital_area_name"	"character"	"15"
