"dataset"	"column"	"type"	"position"
"SP_ADT_Haendelser"	"death_date"	"POSIXct"	"2"
"SP_ADT_Haendelser"	"event_type_name"	"character"	"3"
"SP_ADT_Haendelser"	"effective_time"	"POSIXct"	"4"
"SP_ADT_Haendelser"	"hospital_area_name"	"character"	"5"
"SP_ADT_Haendelser"	"afdeling_name"	"character"	"6"
"SP_ADT_Haendelser"	"id_name"	"character"	"7"
"SP_ADT_Haendelser"	"hospital_area_id"	"integer"	"8"
"SP_ADT_Haendelser"	"kontakt_start_local_dttm"	"POSIXct"	"9"
"SP_ADT_Haendelser"	"kontakt_end_local_dttm"	"POSIXct"	"10"
"SP_ADT_Haendelser"	"hospital_area_name_1"	"character"	"11"
"SP_ADT_Haendelser"	"admission_type"	"character"	"12"
"SP_ADT_Haendelser"	"patient_class"	"character"	"13"
"SP_ADT_Haendelser"	"current_icd10_list"	"character"	"14"
"SP_ADT_Haendelser"	"current_icd10_list_1"	"character"	"15"
"SP_ADT_Haendelser"	"date_received"	"Date"	"16"
"SP_ADT_Haendelser"	"datetime_created"	"POSIXct"	"17"
