"dataset"	"column"	"type"	"position"
"SP_Behandlingsplaner_del1"	"plan_id"	"integer"	"2"
"SP_Behandlingsplaner_del1"	"plan_navn"	"character"	"3"
"SP_Behandlingsplaner_del1"	"protokol_navn"	"character"	"4"
"SP_Behandlingsplaner_del1"	"plan_type"	"character"	"5"
"SP_Behandlingsplaner_del1"	"status"	"character"	"6"
"SP_Behandlingsplaner_del1"	"behandlingslinje"	"character"	"7"
"SP_Behandlingsplaner_del1"	"behandlingsmål"	"character"	"8"
"SP_Behandlingsplaner_del1"	"planlagte_serier"	"integer"	"9"
"SP_Behandlingsplaner_del1"	"plan_start_dato"	"POSIXct"	"10"
"SP_Behandlingsplaner_del1"	"plan_afbrudt_dato"	"POSIXct"	"11"
"SP_Behandlingsplaner_del1"	"afbrudt_årsag"	"character"	"12"
"SP_Behandlingsplaner_del1"	"behandlingsstartdato"	"POSIXct"	"13"
"SP_Behandlingsplaner_del1"	"behandlingsslutdato"	"POSIXct"	"14"
"SP_Behandlingsplaner_del1"	"date_received"	"Date"	"15"
"SP_Behandlingsplaner_del1"	"datetime_created"	"POSIXct"	"16"
"SP_Behandlingsplaner_del1"	"tilhørende_diagnosekode"	"character"	"17"
