"dataset"	"domain"	"description"	"db_table"	"n_rows"	"n_cols"	"n_patients"	"date_min"	"date_max"	"status"	"atlas_ready"	"priority"
"SDS_t_mikro"	"SDS"	"PATOBANK microscopy free-text"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"medium"
"SDS_t_konk"	"SDS"	"PATOBANK conclusions free-text"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"medium"
"SDS_t_doedsaarsag"	"SDS"	"Cause of death register"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"high"
"SDS_procedure_kirurgi"	"SDS"	"LPR3 surgical procedures"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"medium"
"SDS_procedure_andre"	"SDS"	"LPR3 other procedures"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"medium"
"SP_Administreret_Medicin"	"SP"	"In-hospital administered medicine"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"critical"
"SP_ADT_Haendelser"	"SP"	"Admissions / discharges / transfers"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"critical"
"SP_Aktive_Problemliste_Diagnoser"	"SP"	"Active in-hospital diagnoses"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"medium"
"SP_Behandlingskontakter_diagnoser"	"SP"	"Visits and diagnoses"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"medium"
"SP_Behandlingsplaner_del1"	"SP"	"Treatment plans (protocol names)"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"critical"
"SP_Behandlingsplaner_del2"	"SP"	"Treatment plans (cycle details)"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"medium"
"SP_Journalnotater_del1"	"SP"	"Free-text medical notes"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"high"
"SP_Journalnotater_del2"	"SP"	"Medical note signatures/metadata"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"medium"
"SP_BilleddiagnostikeUndersoegelser_Del1"	"SP"	"Medical imaging metadata"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"high"
"SP_BilleddiagnostikeUndersoegelser_Del2"	"SP"	"Medical imaging free-text descriptions"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"medium"
"LAB_FISH"	"Laboratory"	"FISH cytogenetics reports"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"medium"
"MM_TREAT_DARA"	"Curated"	"MM daratumumab-treated cohort"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"medium"
"DANRICHT"	"Curated"	"Richter transformation cohort"	""	""	""	""	""	""	"still_unresolved"	"FALSE"	"medium"
