"column"	"position"	"table"	"label"
"d_dodsdato"	"2"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"d_findedato"	"3"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"d_statdato"	"4"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"v_alder"	"5"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"c_dodtilgrundl_acme"	"6"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"c_dod_1a"	"7"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"c_dod_1b"	"8"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"c_dod_1c"	"9"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"c_dod_1d"	"10"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"c_liste14"	"11"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"c_liste49"	"12"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"c_listea"	"13"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"c_listeb"	"14"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"c_dodsmaade"	"15"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"date_received"	"16"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
"datetime_created"	"17"	"SDS_t_dodsaarsag_2"	"Cause of death register (DAR)"
