"column"	"val"	"n"
"d_dodsdato"	"NA"	"3593"
"d_dodsdato"	"2020-12-15 00:00:00"	"17"
"d_dodsdato"	"2021-02-03 00:00:00"	"15"
"d_dodsdato"	"2022-02-09 00:00:00"	"14"
"d_dodsdato"	"2020-04-01 00:00:00"	"13"
"d_dodsdato"	"2022-01-20 00:00:00"	"13"
"d_dodsdato"	"2020-04-20 00:00:00"	"13"
"d_dodsdato"	"2022-03-31 00:00:00"	"13"
"d_dodsdato"	"2022-12-02 00:00:00"	"13"
"d_dodsdato"	"2021-11-15 00:00:00"	"13"
"d_dodsdato"	"2020-12-29 00:00:00"	"13"
"d_dodsdato"	"2022-04-18 00:00:00"	"12"
"d_dodsdato"	"2020-10-13 00:00:00"	"12"
"d_dodsdato"	"2021-11-18 00:00:00"	"12"
"d_dodsdato"	"2021-11-25 00:00:00"	"12"
"d_findedato"	"NA"	"27398"
"d_findedato"	"2021-05-31 00:00:00"	"5"
"d_findedato"	"2021-12-07 00:00:00"	"4"
"d_findedato"	"2022-07-02 00:00:00"	"4"
"d_findedato"	"2021-09-11 00:00:00"	"3"
"d_findedato"	"2022-11-03 00:00:00"	"3"
"d_findedato"	"2019-02-19 00:00:00"	"3"
"d_findedato"	"2016-05-16 00:00:00"	"3"
"d_findedato"	"2018-09-21 00:00:00"	"3"
"d_findedato"	"2020-01-16 00:00:00"	"3"
"d_findedato"	"2015-10-30 00:00:00"	"3"
"d_findedato"	"2021-01-07 00:00:00"	"3"
"d_findedato"	"2018-02-23 00:00:00"	"3"
"d_findedato"	"2019-02-05 00:00:00"	"2"
"d_findedato"	"2016-03-26 00:00:00"	"2"
"d_statdato"	"2007-11-14 00:00:00"	"17"
"d_statdato"	"2020-12-15 00:00:00"	"17"
"d_statdato"	"2021-02-03 00:00:00"	"16"
"d_statdato"	"2022-02-09 00:00:00"	"15"
"d_statdato"	"2020-10-13 00:00:00"	"14"
"d_statdato"	"2020-12-29 00:00:00"	"14"
"d_statdato"	"2022-09-29 00:00:00"	"13"
"d_statdato"	"2019-02-19 00:00:00"	"13"
"d_statdato"	"2022-12-02 00:00:00"	"13"
"d_statdato"	"2022-01-20 00:00:00"	"13"
"d_statdato"	"2022-03-31 00:00:00"	"13"
"d_statdato"	"2021-11-15 00:00:00"	"13"
"d_statdato"	"2020-04-01 00:00:00"	"13"
"d_statdato"	"2020-04-20 00:00:00"	"13"
"d_statdato"	"2021-11-18 00:00:00"	"13"
"v_alder"	"78"	"1102"
"v_alder"	"80"	"1101"
"v_alder"	"83"	"1087"
