"column"	"val"	"n"
"current_icd10_list"	"DI109"	"5953"
"current_icd10_list"	"DD472"	"5475"
"current_icd10_list"	"DJ189"	"3824"
"current_icd10_list"	"DC911"	"3709"
"current_icd10_list"	"DC900"	"3472"
"current_icd10_list"	"DR060"	"3451"
"current_icd10_list"	"DC833"	"3348"
"current_icd10_list"	"DI489"	"2637"
"current_icd10_list"	"DH259"	"2368"
"current_icd10_list"	"DZ033"	"2352"
"current_icd10_list"	"DZ035"	"2322"
"current_icd10_list"	"DH919"	"2102"
"current_icd10_list"	"DD649"	"1962"
"current_icd10_list"	"DZ031"	"1932"
"current_icd10_list"	"DR919"	"1754"
"dx_name"	"Essentiel hypertension (DI109)"	"5953"
"dx_name"	"Monoklonal gammopati med ubestemt signifikans (MGUS) (DD472)"	"5475"
"dx_name"	"Pneumoni UNS (DJ189)"	"3824"
"dx_name"	"Kronisk lymfatisk leukæmi af B-celle type (B-CLL) (DC911)"	"3709"
"dx_name"	"Myelomatose (DC900)"	"3472"
"dx_name"	"Dyspnø (DR060)"	"3451"
"dx_name"	"Diffust storcellet B-celle lymfom (DC833)"	"3348"
"dx_name"	"Atrieflagren eller atrieflimren UNS (DI489)"	"2637"
"dx_name"	"Aldersbetinget grå stær (>=50 år) UNS (DH259)"	"2368"
"dx_name"	"Obs. pga mistanke om sygdom i nervesystem (DZ033)"	"2352"
"dx_name"	"Høretab UNS (DH919)"	"2102"
"dx_name"	"Anæmi UNS (DD649)"	"1962"
"dx_name"	"Obs. pga mistanke om kræft (DZ031)"	"1932"
"dx_name"	"Abnorm billeddiagnostisk unds. af lunger (DR919)"	"1754"
"dx_name"	"Kronisk obstruktiv lungesygdom UNS (DJ449)"	"1682"
"noted_date"	"NA"	"2879"
"noted_date"	"2017-03-17 00:00:00"	"597"
"noted_date"	"2017-11-24 00:00:00"	"381"
"noted_date"	"2016-11-04 00:00:00"	"372"
"noted_date"	"2018-01-15 00:00:00"	"219"
"noted_date"	"2017-11-30 00:00:00"	"210"
"noted_date"	"2018-01-18 00:00:00"	"200"
"noted_date"	"2017-12-01 00:00:00"	"199"
"noted_date"	"2018-01-17 00:00:00"	"197"
"noted_date"	"2018-01-04 00:00:00"	"194"
"noted_date"	"2017-11-29 00:00:00"	"191"
"noted_date"	"2017-12-11 00:00:00"	"191"
"noted_date"	"2018-01-25 00:00:00"	"188"
"noted_date"	"2017-12-20 00:00:00"	"186"
"noted_date"	"2018-01-11 00:00:00"	"184"
"date_received"	"2023-03-01"	"146647"
"date_received"	"2025-04-24"	"65142"
"date_received"	"2024-01-24"	"46996"
"date_received"	"NA"	"25392"
"date_received"	"2023-05-04"	"15590"
"datetime_created"	"2024-04-16 10:13:09.021561"	"146647"
"datetime_created"	"2025-05-15 15:10:01.620109"	"65142"
"datetime_created"	"2024-05-02 09:43:14.34084"	"46996"
"datetime_created"	"2025-12-15 14:49:49.198892"	"25392"
"datetime_created"	"2024-04-24 11:48:06.195245"	"15590"
