"column"	"val"	"n"
"skskode"	"DC900"	"290240"
"skskode"	"DZ016"	"226188"
"skskode"	"DC833"	"134772"
"skskode"	"DC911"	"124533"
"skskode"	"DZ992"	"61317"
"skskode"	"DI109"	"54484"
"skskode"	"DN189"	"50604"
"skskode"	"DC880"	"40323"
"skskode"	"DD472"	"40102"
"skskode"	"DI489"	"33408"
"skskode"	"DC821"	"33101"
"skskode"	"DC831"	"32481"
"skskode"	"DZ031"	"31764"
"skskode"	"DC619"	"27099"
"skskode"	"DC851"	"26927"
"dx_name"	"Myelomatose"	"290240"
"dx_name"	"Kontakt mhp radiologisk undersøgelse"	"226188"
"dx_name"	"Diffust storcellet B-celle lymfom"	"134772"
"dx_name"	"Kronisk lymfatisk leukæmi af B-celle type (B-CLL)"	"124533"
"dx_name"	"Afhængig af renal dialyse"	"61317"
"dx_name"	"Essentiel hypertension"	"54484"
"dx_name"	"Kronisk nyreinsufficiens UNS"	"50604"
"dx_name"	"Waldenströms makroglobulinæmi"	"40323"
"dx_name"	"Monoklonal gammopati med ubestemt signifikans (MGUS)"	"40102"
"dx_name"	"Atrieflagren eller atrieflimren UNS"	"33408"
"dx_name"	"Follikulært lymfom, grad II"	"33101"
"dx_name"	"Mantle celle lymfom (MCL)"	"32198"
"dx_name"	"Obs. pga mistanke om kræft"	"31764"
"dx_name"	"Prostatakræft"	"27099"
"dx_name"	"B-celle lymfom UNS"	"26927"
"start_date_of_diagnosis"	"NA"	"2664316"
"start_date_of_diagnosis"	"2016-11-04 00:00:00"	"86006"
"start_date_of_diagnosis"	"2017-11-24 00:00:00"	"81105"
"start_date_of_diagnosis"	"2016-05-20 00:00:00"	"79753"
"start_date_of_diagnosis"	"2017-05-19 00:00:00"	"31428"
"start_date_of_diagnosis"	"2017-03-17 00:00:00"	"29414"
"start_date_of_diagnosis"	"2019-02-02 00:00:00"	"4314"
"start_date_of_diagnosis"	"2017-03-13 00:00:00"	"3536"
"start_date_of_diagnosis"	"2017-10-02 00:00:00"	"3204"
"start_date_of_diagnosis"	"2018-06-18 00:00:00"	"2675"
"start_date_of_diagnosis"	"2018-04-19 00:00:00"	"2674"
"start_date_of_diagnosis"	"2018-01-30 00:00:00"	"2577"
"start_date_of_diagnosis"	"2018-02-12 00:00:00"	"2514"
"start_date_of_diagnosis"	"2018-01-22 00:00:00"	"2503"
"start_date_of_diagnosis"	"2017-12-05 00:00:00"	"2464"
"kontaktdato"	"2018-05-22 00:00:00"	"3014"
"kontaktdato"	"2018-12-20 00:00:00"	"2987"
"kontaktdato"	"2018-05-02 00:00:00"	"2947"
"kontaktdato"	"2018-05-17 00:00:00"	"2942"
"kontaktdato"	"2018-05-08 00:00:00"	"2899"
"kontaktdato"	"2018-05-14 00:00:00"	"2847"
"kontaktdato"	"2018-04-03 00:00:00"	"2840"
"kontaktdato"	"2018-09-20 00:00:00"	"2834"
"kontaktdato"	"2018-03-06 00:00:00"	"2826"
"kontaktdato"	"2018-12-06 00:00:00"	"2826"
"kontaktdato"	"2018-05-29 00:00:00"	"2825"
"kontaktdato"	"2019-01-08 00:00:00"	"2818"
"kontaktdato"	"2018-12-11 00:00:00"	"2813"
"kontaktdato"	"2018-05-03 00:00:00"	"2809"
"kontaktdato"	"2018-04-12 00:00:00"	"2808"
"diagnosetype"	"Aktionsdiagnose"	"2919232"
"diagnosetype"	"Bidiagnose"	"1001035"
"diagnosetype"	"Ukendt"	"1"
"date_received"	"2023-03-01"	"2110515"
"date_received"	"2025-04-24"	"778934"
"date_received"	"2023-05-04"	"374182"
"date_received"	"2024-01-24"	"367934"
"date_received"	"NA"	"288703"
"datetime_created"	"2024-04-16 11:01:43.716247"	"2110515"
"datetime_created"	"2025-05-15 15:21:52.220749"	"778934"
"datetime_created"	"2024-04-24 12:18:11.985138"	"374182"
"datetime_created"	"2024-05-02 10:07:09.244731"	"367934"
"datetime_created"	"2025-12-15 14:58:20.702629"	"288703"
"hospital_area_name"	"NA"	"2687832"
"hospital_area_name"	"RH, RIGSHOSPITALET"	"394584"
"hospital_area_name"	"HGH, HERLEV OG GENTOFTE HOSPITAL"	"379367"
"hospital_area_name"	"SJÆLLANDS UNIVERSITETSHOSPITAL"	"190748"
"hospital_area_name"	"BFH, BISPEBJERG OG FREDERIKSBERG HOSPITALER"	"71743"
"hospital_area_name"	"NOH, HOSPITALERNE I NORDSJÆLLAND"	"58887"
"hospital_area_name"	"AHH, AMAGER OG HVIDOVRE HOSPITAL"	"53775"
"hospital_area_name"	"NÆSTVED, SLAGELSE OG RINGSTED SYGEHUSE"	"22215"
"hospital_area_name"	"HOLBÆK SYGEHUS"	"17476"
"hospital_area_name"	"BOH, BORNHOLMS HOSPITAL"	"17099"
"hospital_area_name"	"RHP, REGION HOVEDSTADENS PSYKIATRI"	"13376"
"hospital_area_name"	"SDC, STENO DIABETES CENTER"	"7649"
"hospital_area_name"	"PSYKIATRIEN REGION SJÆLLAND"	"4007"
"hospital_area_name"	"GARANTIKLINIKKEN"	"798"
"hospital_area_name"	"FIL, EPILEPSIHOSPITALET FILADELFIA"	"436"
"region_name"	"NA"	"2678437"
"region_name"	"REGION HOVEDSTADEN"	"1005799"
"region_name"	"REGION SJÆLLAND"	"235322"
"region_name"	"REGION SJÆLLAND, SELVEJEDE"	"700"
"region_name"	"USPECIFIK REGION"	"10"
