"column"	"position"	"table"	"label"
"best_ord_id"	"2"	"SP_BilleddiagnostiskeUndersøgelser_Del1"	"Medical imaging metadata"
"status"	"3"	"SP_BilleddiagnostiskeUndersøgelser_Del1"	"Medical imaging metadata"
"bestillingstidspunkt"	"4"	"SP_BilleddiagnostiskeUndersøgelser_Del1"	"Medical imaging metadata"
"bestillingsnavn"	"5"	"SP_BilleddiagnostiskeUndersøgelser_Del1"	"Medical imaging metadata"
"bld_kode"	"6"	"SP_BilleddiagnostiskeUndersøgelser_Del1"	"Medical imaging metadata"
"pdf"	"7"	"SP_BilleddiagnostiskeUndersøgelser_Del1"	"Medical imaging metadata"
"date_received"	"8"	"SP_BilleddiagnostiskeUndersøgelser_Del1"	"Medical imaging metadata"
"datetime_created"	"9"	"SP_BilleddiagnostiskeUndersøgelser_Del1"	"Medical imaging metadata"
"hospital_area_name"	"10"	"SP_BilleddiagnostiskeUndersøgelser_Del1"	"Medical imaging metadata"
"region_name"	"11"	"SP_BilleddiagnostiskeUndersøgelser_Del1"	"Medical imaging metadata"
