"column"	"val"	"n"
"best_ord_id"	"NA"	"64618"
"best_ord_id"	"348235038"	"1"
"best_ord_id"	"1134172881"	"1"
"best_ord_id"	"619357156"	"1"
"best_ord_id"	"989903993"	"1"
"best_ord_id"	"1350766317"	"1"
"best_ord_id"	"751984556"	"1"
"best_ord_id"	"141953491"	"1"
"best_ord_id"	"1212346609"	"1"
"best_ord_id"	"914018170"	"1"
"best_ord_id"	"1251394767"	"1"
"best_ord_id"	"1145136963"	"1"
"best_ord_id"	"788849480"	"1"
"best_ord_id"	"489399406"	"1"
"best_ord_id"	"385245348"	"1"
"status"	"Fuldført"	"358439"
"status"	"NA"	"20"
"bestillingstidspunkt"	"2020-12-16 14:03:28"	"13"
"bestillingstidspunkt"	"2021-08-23 13:58:50"	"13"
"bestillingstidspunkt"	"2018-09-05 11:35:20"	"13"
"bestillingstidspunkt"	"2020-09-17 11:29:08"	"12"
"bestillingstidspunkt"	"2022-02-21 14:14:39"	"12"
"bestillingstidspunkt"	"2020-01-27 13:32:34"	"12"
"bestillingstidspunkt"	"2022-08-22 14:15:05"	"12"
"bestillingstidspunkt"	"2020-11-26 10:56:34"	"11"
"bestillingstidspunkt"	"2019-10-25 12:59:57"	"11"
"bestillingstidspunkt"	"2019-08-15 15:09:39"	"11"
"bestillingstidspunkt"	"2020-06-03 09:14:35"	"11"
"bestillingstidspunkt"	"2020-12-10 15:30:05"	"10"
"bestillingstidspunkt"	"2020-09-24 15:58:43"	"10"
"bestillingstidspunkt"	"2020-08-26 11:58:49"	"10"
"bestillingstidspunkt"	"2023-10-27 14:36:10"	"10"
"bestillingsnavn"	"RU THORAX"	"67544"
"bestillingsnavn"	"F-18-FDG INJ. PET"	"15903"
"bestillingsnavn"	"CT HELKROP (PET-CT) MED KONTRAST"	"13436"
"bestillingsnavn"	"PET-SCANNING, F-18-FDG"	"9062"
"bestillingsnavn"	"CT HALS, THORAX, ABDOMEN MED KONTRAST"	"7300"
"bestillingsnavn"	"CT THORAX, HELE ABDOMEN MED KONTRAST"	"6794"
"bestillingsnavn"	"CT CEREBRUM UDEN KONTRAST"	"6732"
"bestillingsnavn"	"PET TUMORSCANNING, F-18-FDG"	"6287"
"bestillingsnavn"	"PET MED DIAG. CT MED I.V. OG PERORAL KONTRAST"	"4107"
"bestillingsnavn"	"TVÆRFAGLIG KONFERENCE"	"3941"
"bestillingsnavn"	"CT HALS THORAX ABDOMEN"	"3735"
"bestillingsnavn"	"CT THORAX LAVDOSIS"	"3683"
"bestillingsnavn"	"CT CEREBRUM"	"3344"
"bestillingsnavn"	"CT ABDOMEN MED KONTRAST"	"3108"
"bestillingsnavn"	"CT HELKROP UDEN KONTRAST"	"2966"
"bld_kode"	"BLD1024P"	"45086"
"bld_kode"	"BLDPERF866"	"15903"
"bld_kode"	"BLDPERF738"	"13436"
"bld_kode"	"BLDPERF4168"	"12552"
"bld_kode"	"BLDPERF3246"	"9062"
"bld_kode"	"BLDPERF91"	"7300"
"bld_kode"	"BLDPERF124"	"6794"
"bld_kode"	"BLDPERF1910"	"6732"
"bld_kode"	"BLDPERF3341"	"6335"
"bld_kode"	"BLDPERF2204"	"6287"
"bld_kode"	"BLDPERF2271"	"3941"
"bld_kode"	"BLDPERF5227"	"3558"
"bld_kode"	"BLDPERF2046"	"3108"
"bld_kode"	"BLDPERF117"	"2966"
"bld_kode"	"BLDPERF2667"	"2796"
"pdf"	"IC-ppr1-447743204.PDF"	"14"
"pdf"	"IC-ppr1-3612809509.PDF"	"12"
"pdf"	"IC-ppr1-1064924034.PDF"	"10"
"pdf"	"IC-ppr1-1996567552.PDF"	"10"
"pdf"	"IC-ppr1-2344226126.PDF"	"10"
"pdf"	"IC-ppr1-3463719960.PDF"	"10"
"pdf"	"IC-ppr1-878656759.PDF"	"10"
"pdf"	"IC-ppr1-959142448.PDF"	"9"
"pdf"	"IC-ppr1-440276505.PDF"	"8"
"pdf"	"IC-ppr1-954743112.PDF"	"8"
"pdf"	"IC-ppr1-901760012.PDF"	"8"
"pdf"	"IC-ppr1-924595486.PDF"	"8"
"pdf"	"IC-ppr1-2971715709.PDF"	"8"
"pdf"	"IC-ppr1-1244183050.PDF"	"8"
"pdf"	"IC-ppr1-922083492.PDF"	"8"
"date_received"	"2024-01-24"	"293841"
"date_received"	"2025-04-24"	"50766"
"date_received"	"NA"	"13852"
"datetime_created"	"2024-05-02 10:21:11.991881"	"293841"
"datetime_created"	"2025-05-15 15:24:06.754397"	"50766"
"datetime_created"	"2025-12-15 15:08:37.875577"	"13852"
"hospital_area_name"	"RH, RIGSHOSPITALET"	"87654"
"hospital_area_name"	"HGH, HERLEV OG GENTOFTE HOSPITAL"	"75347"
"hospital_area_name"	"NA"	"64802"
"hospital_area_name"	"SJÆLLANDS UNIVERSITETSHOSPITAL"	"48234"
"hospital_area_name"	"NOH, HOSPITALERNE I NORDSJÆLLAND"	"23041"
"hospital_area_name"	"BFH, BISPEBJERG OG FREDERIKSBERG HOSPITALER"	"21857"
"hospital_area_name"	"AHH, AMAGER OG HVIDOVRE HOSPITAL"	"17485"
"hospital_area_name"	"NÆSTVED, SLAGELSE OG RINGSTED SYGEHUSE"	"9304"
"hospital_area_name"	"HOLBÆK SYGEHUS"	"6505"
"hospital_area_name"	"BOH, BORNHOLMS HOSPITAL"	"3778"
"hospital_area_name"	"RHP, REGION HOVEDSTADENS PSYKIATRI"	"195"
"hospital_area_name"	"GARANTIKLINIKKEN"	"174"
"hospital_area_name"	"PSYKIATRIEN REGION SJÆLLAND"	"51"
