"snomed"	"n"
"T06002"	"305085"
"T0X000"	"249078"
"T06000"	"210007"
"P28260"	"184612"
"M00120"	"179388"
"M09450"	"144638"
"P33600"	"103079"
"P30610"	"81538"
"P30990"	"76420"
"M97323"	"75054"
"M00100"	"71974"
"M98233"	"66458"
"MÆ0024"	"66422"
"MÆ0025"	"59514"
"M72000"	"57807"
"P28280"	"53562"
"ÆYYY00"	"47516"
"T01000"	"46457"
"T8X310"	"45360"
"M09462"	"44220"
"MÆ0026"	"42782"
"M00020"	"38744"
"M96103"	"34957"
"M96003"	"33302"
"P30620"	"32713"
"P3B000"	"31831"
"M09460"	"30622"
"T77100"	"29853"
"P30613"	"28692"
"FC1702"	"28322"
"P31060"	"28079"
"P30615"	"28028"
"M97651"	"27101"
"M01111"	"26802"
"M09400"	"25326"
"M80903"	"24513"
"M77600"	"24151"
"M40000"	"22957"
"M59100"	"22679"
"M72750"	"22547"
"P30626"	"22083"
"TX1010"	"21717"
"M82110"	"21532"
"M09011"	"21224"
"M96803"	"21193"
"M81403"	"21094"
"P306X5"	"21026"
"M814A0"	"19973"
"P33765"	"19138"
"M96903"	"19130"
"T8X330"	"18879"
"M96713"	"18822"
"M43000"	"18757"
"T67010"	"18361"
"P30611"	"18071"
"M72850"	"17780"
"T08200"	"17244"
"P31002"	"17113"
"M00410"	"16670"
"M47171"	"16395"
"P31067"	"16233"
"P31113"	"15581"
"M97321"	"15488"
"MÆ0020"	"14245"
"M09010"	"14141"
"P30750"	"14101"
"M97328"	"14080"
"P11000"	"13531"
"T63010"	"13386"
"FC1701"	"13097"
"T68010"	"13085"
"T02450"	"12997"
"P30600"	"12973"
"P33B36"	"12926"
"T74010"	"12503"
"ÆYYY21"	"12456"
"T67710"	"12167"
"M96703"	"11965"
"M80703"	"11869"
"T67925"	"11764"
