"code"	"n"
"NPU02319"	"1514287"
"NPU02593"	"1396945"
"NPU03230"	"1339815"
"NPU03429"	"1333187"
"NPU03568"	"1294479"
"NPU19748"	"1228477"
"NPU04998"	"1033360"
"NPU02636"	"919193"
"NPU02840"	"910308"
"NPU01349"	"907323"
"DNK35302"	"899624"
"NPU19651"	"850966"
"NPU19658"	"804186"
"NPU01933"	"802122"
"NPU02902"	"746408"
"NPU27783"	"724416"
"NPU01370"	"670940"
"NPU26631"	"648852"
"NPU04100"	"638444"
"NPU19673"	"624511"
"DNK35131"	"568803"
"NPU18156"	"532287"
"NPU01459"	"449494"
"NPU04144"	"415072"
"NPU18016"	"413055"
"NPU02192"	"399711"
"NPU01685"	"375633"
"NPU01944"	"361358"
"NPU03688"	"325935"
"NPU01961"	"313754"
"NPU19814"	"278298"
"NPU02321"	"256866"
"NPU18878"	"249803"
"NPU19825"	"243476"
"NPU21406"	"240248"
"NPU19795"	"239347"
"NPU28172"	"234871"
"NPU01960"	"231301"
"NPU17580"	"217019"
"NPU18157"	"213322"
"NPU08694"	"200537"
"NPU03577"	"198553"
"NPU03096"	"197385"
"NPU01443"	"192393"
"NPU02647"	"181818"
"NPU01566"	"170868"
"NPU14267"	"163452"
"NPU02320"	"162407"
"POC00040"	"158455"
"NPU01567"	"157878"
"NPU27412"	"154278"
"NPU27300"	"152935"
"NPU03978"	"152097"
"NPU03976"	"151916"
"NPU03972"	"150504"
"NPU03974"	"148006"
"NPU04094"	"147555"
"NPU18162"	"147315"
"NPU01568"	"131659"
"NPU03278"	"124786"
"NPU17675"	"122462"
"NPU18282"	"114336"
"NPU19608"	"113703"
"NPU19607"	"113678"
"NPU19606"	"111316"
"DNK05219"	"108552"
"NPU01700"	"105697"
"NPU04708"	"103648"
"NPU19763"	"102968"
"NPU01472"	"100429"
"NPU19652"	"99677"
"NPU01682"	"99164"
"NPU01470"	"96050"
"NPU12474"	"95901"
"NPU08977"	"95722"
"NPU03011"	"94804"
"NPU04197"	"93232"
"NPU03815"	"88912"
"HEH00016"	"87688"
"NPU03356"	"87169"
