"code"	"n"	"name"
"NPU02319"	"1514287"	"Haemoglobin"
"NPU02593"	"1396945"	"Creatinine"
"NPU03230"	"1339815"	"Sodium"
"NPU03429"	"1333187"	"Potassium"
"NPU03568"	"1294479"	"Calcium (total)"
"NPU19748"	"1228477"	"Leukocytes"
"NPU04998"	"1033360"	"C-reactive protein"
"NPU02636"	"919193"	"LDH"
"NPU02840"	"910308"	"Glucose"
"NPU01349"	"907323"	"Albumin"
"DNK35302"	"899624"	"eGFR (CKD-EPI)"
"NPU19651"	"850966"	"Neutrophils"
"NPU19658"	"804186"	"Monocytes"
"NPU01933"	"802122"	"Bilirubin (total)"
"NPU02902"	"746408"	"IgG"
"NPU27783"	"724416"	"Ferritin"
"NPU01370"	"670940"	"ALAT"
"NPU26631"	"648852"	"Coagulation factor II/VII/X"
"NPU04100"	"638444"	"Erythrocytes"
"NPU19673"	"624511"	"Lymphocytes"
"DNK35131"	"568803"	"DNK35131"
"NPU18156"	"532287"	"NPU18156"
"NPU01459"	"449494"	"NPU01459"
"NPU04144"	"415072"	"Magnesium"
"NPU18016"	"413055"	"Thrombocytes"
"NPU02192"	"399711"	"NPU02192"
"NPU01685"	"375633"	"Alkaline phosphatase"
"NPU01944"	"361358"	"Basophil granulocytes"
"NPU03688"	"325935"	"NPU03688"
"NPU01961"	"313754"	"Carbamide (urea)"
"NPU19814"	"278298"	"NPU19814"
"NPU02321"	"256866"	"NPU02321"
"NPU18878"	"249803"	"NPU18878"
"NPU19825"	"243476"	"NPU19825"
"NPU21406"	"240248"	"NPU21406"
"NPU19795"	"239347"	"NPU19795"
"NPU28172"	"234871"	"NPU28172"
"NPU01960"	"231301"	"NPU01960"
"NPU17580"	"217019"	"NPU17580"
"NPU18157"	"213322"	"NPU18157"
"NPU08694"	"200537"	"NPU08694"
"NPU03577"	"198553"	"TSH"
"NPU03096"	"197385"	"NPU03096"
"NPU01443"	"192393"	"NPU01443"
"NPU02647"	"181818"	"NPU02647"
"NPU01566"	"170868"	"NPU01566"
"NPU14267"	"163452"	"NPU14267"
"NPU02320"	"162407"	"NPU02320"
"POC00040"	"158455"	"POC00040"
"NPU01567"	"157878"	"NPU01567"
"NPU27412"	"154278"	"NPU27412"
"NPU27300"	"152935"	"NPU27300"
"NPU03978"	"152097"	"NPU03978"
"NPU03976"	"151916"	"NPU03976"
"NPU03972"	"150504"	"NPU03972"
"NPU03974"	"148006"	"NPU03974"
"NPU04094"	"147555"	"NPU04094"
"NPU18162"	"147315"	"NPU18162"
"NPU01568"	"131659"	"NPU01568"
"NPU03278"	"124786"	"NPU03278"
"NPU17675"	"122462"	"NPU17675"
"NPU18282"	"114336"	"NPU18282"
"NPU19608"	"113703"	"NPU19608"
"NPU19607"	"113678"	"NPU19607"
"NPU19606"	"111316"	"NPU19606"
"DNK05219"	"108552"	"DNK05219"
"NPU01700"	"105697"	"NPU01700"
"NPU04708"	"103648"	"NPU04708"
"NPU19763"	"102968"	"NPU19763"
"NPU01472"	"100429"	"NPU01472"
"NPU19652"	"99677"	"NPU19652"
"NPU01682"	"99164"	"NPU01682"
"NPU01470"	"96050"	"NPU01470"
"NPU12474"	"95901"	"NPU12474"
"NPU08977"	"95722"	"NPU08977"
"NPU03011"	"94804"	"NPU03011"
"NPU04197"	"93232"	"NPU04197"
"NPU03815"	"88912"	"NPU03815"
"HEH00016"	"87688"	"HEH00016"
"NPU03356"	"87169"	"NPU03356"
