"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"SST"	"59025"	"59.025"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"sst"	"36079"	"36.079"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"RSJ"	"1288"	"1.288"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"ASS"	"1026"	"1.026"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"SA"	"925"	"0.925"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"RSD"	"767"	"0.767"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"KPL"	"241"	"0.241"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"RHB"	"119"	"0.119"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"POC"	"115"	"0.115"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"VAS"	"109"	"0.109"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"HEH"	"106"	"0.106"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"AAA"	"84"	"0.084"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"SSI"	"56"	"0.056"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"AAB"	"26"	"0.026"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"GEN"	"15"	"0.015"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"BM"	"13"	"0.013"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"RHS"	"3"	"0.003"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"BBH"	"1"	"0.001"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"EPI"	"1"	"0.001"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"analysiscoderesponsible"	"REB"	"1"	"0.001"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"HAEM"	"4603"	"6.547"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"CRE"	"4328"	"6.156"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"K+"	"4254"	"6.051"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"NA+"	"4243"	"6.035"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"LEUK"	"4239"	"6.029"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"EGFR"	"4094"	"5.823"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"THR"	"3828"	"5.445"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"NEU"	"3687"	"5.244"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"CRP"	"3351"	"4.766"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"LDH"	"2862"	"4.071"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"LYM"	"2847"	"4.049"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"ALT"	"2822"	"4.014"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"ALP"	"2686"	"3.82"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"MON"	"2578"	"3.667"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"EOS"	"2552"	"3.63"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"BAS"	"2511"	"3.572"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"BIL"	"2150"	"3.058"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"ALB"	"2025"	"2.88"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"GLUC"	"1893"	"2.693"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"IGG"	"991"	"1.41"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"IGM"	"980"	"1.394"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"IGA"	"960"	"1.365"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"BUN"	"945"	"1.344"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"RETI"	"934"	"1.328"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"KOL"	"569"	"0.809"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"LDL"	"557"	"0.792"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"TRIGL"	"548"	"0.779"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"HDL"	"547"	"0.778"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"INR"	"454"	"0.646"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"HAPTO"	"347"	"0.494"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"BCx"	"153"	"0.218"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"TNI"	"65"	"0.092"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"B2M"	"61"	"0.087"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"TNT"	"60"	"0.085"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"CICLO"	"52"	"0.074"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"CD4"	"50"	"0.071"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"CMVPCR"	"49"	"0.07"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"ANA"	"45"	"0.064"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"CKMB"	"39"	"0.055"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"HCVIGG"	"37"	"0.053"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"EBVPCR"	"36"	"0.051"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"HBVAGS"	"36"	"0.051"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"ORDERGROUP_EBV"	"33"	"0.047"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"EBNA"	"30"	"0.043"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"HBVABC"	"28"	"0.04"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"EBVIGG"	"23"	"0.033"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"EBVIGM"	"23"	"0.033"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"KOL-HDL"	"22"	"0.031"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"HBVABS"	"11"	"0.016"
"PERSIMUNE_biochemistry"	"PERSIMUNE_biochemistry"	"c_analysisgroup"	"CMVIGG"	"9"	"0.013"
