"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"afsnit_mads"	"NULL"	"58738"	"60.011"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"afsnit_mads"	"V"	"37690"	"38.507"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"afsnit_mads"	"B"	"981"	"1.002"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"afsnit_mads"	"A"	"469"	"0.479"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"NULL"	"58738"	"60.011"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"4"	"4324"	"4.418"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"7"	"1879"	"1.92"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"13"	"1597"	"1.632"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"23"	"1571"	"1.605"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"22"	"1531"	"1.564"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"6"	"1448"	"1.479"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"19"	"1385"	"1.415"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"8"	"1374"	"1.404"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"20"	"1322"	"1.351"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"122"	"1055"	"1.078"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"18"	"1050"	"1.073"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"12"	"963"	"0.984"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"26"	"961"	"0.982"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"17"	"938"	"0.958"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"29"	"894"	"0.913"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"25"	"882"	"0.901"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"28"	"749"	"0.765"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"133"	"686"	"0.701"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"134"	"612"	"0.625"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"16"	"594"	"0.607"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"53"	"521"	"0.532"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"32"	"514"	"0.525"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"31"	"501"	"0.512"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"44"	"492"	"0.503"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"1"	"451"	"0.461"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"59"	"395"	"0.404"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"90"	"359"	"0.367"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"24"	"347"	"0.355"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"40"	"336"	"0.343"
"PERSIMUNE_microbiology_analysis"	"microbiology_analysis"	"analysiscodemads"	"179"	"315"	"0.322"
