"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"_"	"27429"	"27.429"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"HVH"	"21194"	"21.194"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"HER"	"18662"	"18.662"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"RHM"	"18092"	"18.092"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"STM"	"7648"	"7.648"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"AUH"	"1694"	"1.694"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"OUM"	"1631"	"1.631"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"NJA"	"1155"	"1.155"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"SSI"	"723"	"0.723"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"VEM"	"528"	"0.528"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"SOM"	"419"	"0.419"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"RIM"	"285"	"0.285"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"BOH"	"200"	"0.2"
"PERSIMUNE_microbiology_culture_resistance"	"PERSIMUNE_microbiology_culture_resistance"	"antibioticnamecoderesponsible"	"HIM"	"120"	"0.12"
