"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"analysiscode"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"analysiscoderesponsible"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"analysiscodetype"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"analysisgroup_mads"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"analysisname"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"analysisshortname"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_analysisgroup"	"BLOODCULTURE"	"36408"	"36.408"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_analysisgroup"	"NULL"	"29791"	"29.791"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_analysisgroup"	"URINECULTURE"	"25616"	"25.616"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_analysisgroup"	"EKSPEKTORAT"	"6065"	"6.065"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_analysisgroup"	"TRACHEALSEKRET"	"1233"	"1.233"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_analysisgroup"	"BAL"	"887"	"0.887"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_analysismethod"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_displayunit"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_domain"	"Bacteria"	"88602"	"88.602"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_domain"	"NULL"	"10162"	"10.162"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_domain"	"Fungus"	"729"	"0.729"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_domain"	"Unclassified"	"443"	"0.443"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_domain"	"Parasites/Protozoa/Helminths"	"64"	"0.064"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_extraresult_1"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_extraresult_2"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_extraresult_3"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_extraresult_4"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_extraresult_5"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_hospital"	"Rigshospitalet"	"21572"	"21.572"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_hospital"	"Herlev"	"20586"	"20.586"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_hospital"	"Hvidovre"	"17172"	"17.172"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_hospital"	"NULL"	"9980"	"9.98"
"PERSIMUNE_microbiology_culture"	"PERSIMUNE_microbiology_culture"	"c_hospital"	"Slagelse"	"9883"	"9.883"
