"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"analysiscode"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"analysiscoderesponsible"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"analysiscodetype"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"analysisgroup_mads"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"analysisname"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"analysisshortname"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_analysisgroup"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_analysismethod"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_categoricalresult"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_displayunit"	"NULL"	"100000"	"100"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_domain"	"Bacteria"	"91407"	"91.407"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_domain"	"NULL"	"3827"	"3.827"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_domain"	"Fungus"	"2814"	"2.814"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_domain"	"Unclassified"	"1031"	"1.031"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_domain"	"Parasites/Protozoa/Helminths"	"920"	"0.92"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_domain"	"Other"	"1"	"0.001"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Rigshospitalet"	"36420"	"36.42"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Herlev"	"13457"	"13.457"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Hvidovre"	"11962"	"11.962"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Slagelse"	"11940"	"11.94"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Statens_Serum_Institut"	"8164"	"8.164"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"NULL"	"4960"	"4.96"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Aalborg"	"3824"	"3.824"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Odense"	"1956"	"1.956"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Soenderborg"	"1506"	"1.506"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Nykoebing_F"	"1473"	"1.473"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Esbjerg"	"909"	"0.909"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Aarhus_UH"	"849"	"0.849"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Arhus_Skejby"	"738"	"0.738"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Viborg"	"644"	"0.644"
"PERSIMUNE_microbiology_microscopy"	"PERSIMUNE_microbiology_microscopy"	"c_hospital"	"Herning"	"399"	"0.399"
