"source_name"	"object_name"	"column"	"value"	"n"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"1301101"	"1237"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"3800A20"	"1171"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"6620141"	"983"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"1516230"	"940"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"8001101"	"873"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"4202560"	"673"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"6008260"	"453"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"665033L"	"397"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"5000505"	"382"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"5501053"	"323"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"664038K"	"157"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"3800N80"	"136"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"7601041"	"82"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"500061A"	"76"
"RKKP_CLL"	"RKKP_CLL"	"Org_rap"	"2000228"	"1"
"RKKP_CLL"	"RKKP_CLL"	"Region"	"1084"	"2095"
"RKKP_CLL"	"RKKP_CLL"	"Region"	"1083"	"1861"
"RKKP_CLL"	"RKKP_CLL"	"Region"	"1082"	"1625"
"RKKP_CLL"	"RKKP_CLL"	"Region"	"1085"	"1258"
"RKKP_CLL"	"RKKP_CLL"	"Region"	"1081"	"817"
"RKKP_CLL"	"RKKP_CLL"	"Region"	"102"	"60"
"RKKP_CLL"	"RKKP_CLL"	"Region"	"101"	"52"
"RKKP_CLL"	"RKKP_CLL"	"Region"	"105"	"46"
"RKKP_CLL"	"RKKP_CLL"	"Region"	"104"	"30"
"RKKP_CLL"	"RKKP_CLL"	"Region"	"103"	"11"
"RKKP_CLL"	"RKKP_CLL"	"Region"	"106"	"3"
"RKKP_CLL"	"RKKP_CLL"	"KMregisdoed"	"N"	"4841"
"RKKP_CLL"	"RKKP_CLL"	"KMregisdoed"	"Y"	"3043"
"RKKP_CLL"	"RKKP_CLL"	"Reg_FAMCLL"	"N"	"2556"
"RKKP_CLL"	"RKKP_CLL"	"Reg_FAMCLL"	"UNK"	"1158"
"RKKP_CLL"	"RKKP_CLL"	"Reg_FAMCLL"	"Y"	"141"
"RKKP_CLL"	"RKKP_CLL"	"Reg_Diagnose_dt"	"14/11/2014"	"9"
"RKKP_CLL"	"RKKP_CLL"	"Reg_Diagnose_dt"	"20/10/2014"	"9"
