"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"0"	"8473"	"57.231"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"1"	"2440"	"16.481"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"2"	"1924"	"12.996"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"3"	"936"	"6.322"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"4"	"457"	"3.087"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"5"	"220"	"1.486"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"6"	"126"	"0.851"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"8"	"102"	"0.689"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"7"	"57"	"0.385"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"9"	"34"	"0.23"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"10"	"17"	"0.115"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"11"	"10"	"0.068"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"12"	"6"	"0.041"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"13"	"2"	"0.014"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Charlson_Index"	"16"	"1"	"0.007"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"-1"	"79"	"22.38"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"4"	"35"	"9.915"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"3"	"34"	"9.632"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"6"	"26"	"7.365"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"2"	"23"	"6.516"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"5"	"22"	"6.232"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"7"	"18"	"5.099"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"0"	"13"	"3.683"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"8"	"11"	"3.116"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"9"	"11"	"3.116"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"12"	"10"	"2.833"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"14"	"9"	"2.55"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"10"	"8"	"2.266"
"RKKP_DaMyDa"	"RKKP_DaMyDa"	"Cyto_AntalAbnormeMetafaser"	"11"	"8"	"2.266"
