"source_name"	"column"	"n_total"	"n_numeric"	"min"	"p25"	"median"	"p75"	"max"
"RKKP_LYFO"	"Org_rap"	"27061"	"21469"	"1301101"	"1516230"	"4202560"	"6620141"	"8001101"
"RKKP_LYFO"	"Kommunenr"	"27061"	"26441"	"-1"	"240"	"461"	"707"	"4400"
"RKKP_LYFO"	"ANTREG"	"27061"	"27061"	"0"	"0"	"2"	"4"	"12"
"RKKP_LYFO"	"ENODAL"	"27061"	"27061"	"0"	"0"	"1"	"1"	"11"
"RKKP_LYFO"	"IPI"	"27061"	"25817"	"0"	"1"	"2"	"3"	"5"
"RKKP_LYFO"	"IPS"	"27061"	"2517"	"0"	"1"	"2"	"3"	"7"
"RKKP_LYFO"	"aaIPI"	"27061"	"25817"	"0"	"1"	"1"	"2"	"3"
"RKKP_LYFO"	"FLIPI"	"27061"	"4388"	"0"	"1"	"2"	"3"	"5"
"RKKP_LYFO"	"FLIPI2"	"27061"	"3603"	"0"	"1"	"1"	"2"	"5"
"RKKP_LYFO"	"Reg_WHOHistologikode1"	"27061"	"26884"	"9590"	"9671"	"9680"	"9690"	"9971"
"RKKP_LYFO"	"Reg_WHOHistologikode2"	"27061"	"788"	"9590"	"9670"	"9689"	"9691"	"9970"
"RKKP_LYFO"	"Reg_Stadium"	"27061"	"27061"	"1"	"2"	"4"	"4"	"5"
"RKKP_LYFO"	"Reg_Tumordiameter"	"27061"	"27041"	"-1"	"-1"	"2.3"	"5"	"44"
"RKKP_LYFO"	"Reg_PerformanceStatusWHO"	"27061"	"26990"	"0"	"0"	"0"	"1"	"4"
"RKKP_LYFO"	"Reg_Haemoglobin"	"27061"	"26786"	"1.5"	"7.1"	"8.1"	"8.8"	"12.5"
"RKKP_LYFO"	"Reg_Thrombocytter"	"27061"	"26708"	"0"	"195"	"257"	"333"	"3006"
"RKKP_LYFO"	"Reg_Leukocytter"	"27061"	"26762"	"0.1"	"5.9"	"7.7"	"10.2"	"1000"
"RKKP_LYFO"	"Reg_Lymfocytter_mL"	"27061"	"26089"	"0"	"1"	"1.5"	"2.2"	"550"
"RKKP_LYFO"	"Reg_Lymfocytter_pro"	"27061"	"8399"	"-1"	"-1"	"-1"	"-1"	"97"
"RKKP_LYFO"	"Reg_Saenkning"	"27061"	"3387"	"1"	"10"	"26"	"60"	"140"
"RKKP_LYFO"	"Reg_Albumin_gL"	"27061"	"23231"	"0"	"34"	"38"	"42"	"98"
"RKKP_LYFO"	"Reg_Albumin_mikmoll"	"27061"	"5099"	"-1"	"-1"	"-1"	"548.5"	"805"
"RKKP_LYFO"	"Reg_CalciumAlbuminkorrigeret"	"27061"	"6916"	"0"	"2.3"	"2.4"	"2.5"	"4.6"
"RKKP_LYFO"	"Reg_CalciumIoniseret"	"27061"	"21016"	"0.7"	"1.2"	"1.2"	"1.3"	"4.5"
"RKKP_LYFO"	"Reg_Creatinin_mikmoll"	"27061"	"24138"	"1.2"	"64"	"76"	"91"	"1266"
"RKKP_LYFO"	"Reg_Creatinin_millimoll"	"27061"	"1187"	"-1"	"0.1"	"0.1"	"0.1"	"1"
"RKKP_LYFO"	"Reg_Bilirubin"	"27061"	"26206"	"0"	"6"	"8"	"11"	"614"
"RKKP_LYFO"	"Reg_ALAT"	"27061"	"26329"	"0"	"15"	"21"	"31"	"1876"
"RKKP_LYFO"	"Reg_BasiskFosfatase"	"27061"	"25067"	"0"	"66"	"82"	"107"	"3960"
"RKKP_LYFO"	"Reg_Lactatdehydrogenase"	"27061"	"26310"	"5"	"169"	"201"	"264"	"49500"
"RKKP_LYFO"	"Reg_Beta2Microglobulin_mgL"	"27061"	"11597"	"0"	"2"	"2.7"	"4"	"44.3"
"RKKP_LYFO"	"Reg_Beta2Microglobulin_nmL"	"27061"	"12270"	"-1"	"-1"	"105"	"202"	"4450"
"RKKP_LYFO"	"Reg_ImmunglobulinA_gL"	"27061"	"23698"	"0"	"1.2"	"1.9"	"2.8"	"240"
"RKKP_LYFO"	"Reg_ImmunglobulinA_Mikmoll"	"27061"	"2056"	"-1"	"-1"	"1.85"	"11.2"	"272.7"
"RKKP_LYFO"	"Reg_ImmunglobulinG_gL"	"27061"	"23790"	"0"	"7.4"	"9.5"	"11.9"	"217.1"
"RKKP_LYFO"	"Reg_ImmunglobulinG_Mikmoll"	"27061"	"2052"	"-1"	"-1"	"9.5"	"60"	"598"
"RKKP_LYFO"	"Reg_ImmunglobulinM_gL"	"27061"	"23721"	"0"	"0.5"	"0.9"	"1.8"	"100"
"RKKP_LYFO"	"Reg_ImmunglobulinM_Mikmoll"	"27061"	"2067"	"-1"	"-1"	"0.3"	"1"	"100"
"RKKP_LYFO"	"Reg_UddybProtokol"	"27061"	"25639"	"12"	"99"	"99"	"99"	"99"
"RKKP_LYFO"	"Beh_resource_author_SHAK"	"27061"	"17689"	"1301101"	"1516230"	"4202560"	"6620141"	"8001101"
"RKKP_LYFO"	"Beh_CycluslaengdeReg1"	"27061"	"15426"	"14"	"14"	"21"	"21"	"28"
"RKKP_LYFO"	"Beh_CyclusAntalReg1"	"27061"	"16641"	"-1"	"4"	"6"	"6"	"42"
"RKKP_LYFO"	"Beh_CycluslaengdeReg2"	"27061"	"2562"	"14"	"21"	"21"	"21"	"28"
"RKKP_LYFO"	"Beh_CyclusAntalReg2"	"27061"	"3435"	"-1"	"2"	"2"	"4"	"24"
"RKKP_LYFO"	"Beh_CycluslaengdeReg3"	"27061"	"456"	"14"	"14"	"21"	"21"	"28"
