"env_index"	"object_name"	"object_class"
"1"	".default_output_dir"	"character"
"1"	".Random.seed"	"integer"
"1"	".wommen_date_candidates"	"character"
"1"	".wommen_descriptor_candidates"	"character"
"1"	".wommen_id_candidates"	"character"
"1"	".wommen_unit_candidates"	"character"
"1"	".wommen_value_candidates"	"character"
"1"	"%||%"	"function"
"1"	"AA"	"function"
"1"	"aaCLL_IPI"	"function"
"1"	"aaFLIPI2"	"function"
"1"	"aaIPS"	"function"
"1"	"aaIPSSWM"	"function"
"1"	"aaMALT_IPI"	"function"
"1"	"aaMIPI"	"function"
"1"	"aaNCCN_IPI"	"function"
"1"	"aarIPSSWM"	"function"
"1"	"AE_AKI"	"function"
"1"	"AE_ALAT_increased"	"function"
"1"	"AE_anemia"	"function"
"1"	"AE_ASAT_increased"	"function"
"1"	"AE_BASP_increased"	"function"
"1"	"AE_bilirubin_increased"	"function"
"1"	"AE_creatinine_increased"	"function"
"1"	"AE_eosinophilia"	"function"
"1"	"AE_haptoglobin_decreased"	"function"
"1"	"AE_hemoglobin_increased"	"function"
"1"	"AE_hospitalization"	"function"
"1"	"AE_hypercalcemia"	"function"
"1"	"AE_hyperkalemia"	"function"
"1"	"AE_hypermagnesemia"	"function"
"1"	"AE_hypernatremia"	"function"
"1"	"AE_hypertriglyceridemia"	"function"
"1"	"AE_hypoalbuminemia"	"function"
"1"	"AE_hypocalcemia"	"function"
"1"	"AE_hypoglycemia"	"function"
"1"	"AE_infection"	"function"
"1"	"AE_INR_increased"	"function"
"1"	"AE_leukocytosis"	"function"
"1"	"AE_lymphocyte_count_decreased"	"function"
"1"	"AE_lymphocyte_count_increased"	"function"
"1"	"AE_neutrophil_count_decreased"	"function"
"1"	"AE_obesity"	"function"
"1"	"AE_platelets_decreased"	"function"
"1"	"AE_WBC_decreased"	"function"
"1"	"aggregate_value_counts_tbl"	"function"
"1"	"args"	"character"
"1"	"ATC_AB"	"function"
"1"	"ATC_hypertensives"	"function"
"1"	"ATC_opioids"	"function"
"1"	"ATC_polypharmacy"	"function"
"1"	"BLOOD"	"character"
"1"	"BLOOD2023"	"character"
"1"	"BMI"	"function"
"1"	"bootstrap_status"	"character"
"1"	"BSA"	"function"
"1"	"capture_attributes_tbl"	"function"
"1"	"CCI"	"function"
"1"	"CCI_v1"	"function"
"1"	"censor_med_keep_first"	"function"
"1"	"change_month"	"function"
"1"	"clean_abbreviations"	"function"
"1"	"clean_antineoplastics"	"function"
"1"	"clean_lab_values"	"function"
"1"	"clean_RKKP_CLL"	"function"
"1"	"clean_RKKP_DAMYDA"	"function"
"1"	"clean_RKKP_LYFO"	"function"
"1"	"clean_SDS_t_mikro"	"function"
"1"	"clear_ram"	"function"
"1"	"CLL_CI"	"function"
"1"	"CLL_IPI"	"function"
"1"	"CLL_IPI_2023"	"function"
"1"	"CLL_WONT"	"function"
"1"	"CNS_IPI"	"function"
"1"	"coalesce_columns"	"function"
"1"	"coalesce_date_columns"	"function"
"1"	"COD"	"function"
"1"	"COD2"	"function"
"1"	"Codes_all"	"data.frame"
"1"	"Codes_ATC"	"data.frame"
"1"	"Codes_DST_DIAG_CODES"	"data.frame"
"1"	"Codes_ICD10"	"data.frame"
"1"	"Codes_NPU"	"data.frame"
"1"	"Codes_SHAK_long"	"data.frame"
"1"	"Codes_SKS"	"data.frame"
"1"	"Codes_SNOMED"	"data.frame"
"1"	"CODES_SNOMED"	"data.frame"
"1"	"collapse_examples"	"function"
"1"	"collect_runtime_envs"	"function"
"1"	"column_inventory_tbl"	"function"
"1"	"concept_catalog"	"tbl_df/tbl/data.frame"
"1"	"concept_column_hits_tbl"	"function"
"1"	"CORE.CURATED"	"character"
"1"	"CORE.PUBLIC"	"character"
"1"	"create_antineoplastic_study"	"function"
"1"	"CTCAE_lab"	"function"
"1"	"cut_year"	"function"
"1"	"dalycare_candidates"	"character"
"1"	"dalycare_dx"	"character"
"1"	"dalycare_hit"	"character"
"1"	"damyda_focus_tables"	"function"
"1"	"dataset_var"	"character"
"1"	"dataset_variants"	"list"
"1"	"default_datasets"	"character"
"1"	"detach_package"	"function"
"1"	"diff_days"	"function"
"1"	"diff_days_lag"	"function"
"1"	"diff_hours"	"function"
"1"	"diff_hours_lag"	"function"
"1"	"diff_years"	"function"
"1"	"diff_years_lag"	"function"
"1"	"e"	"environment"
"1"	"e_idx"	"integer"
"1"	"envs"	"list"
"1"	"epikur_focus_tables"	"function"
"1"	"extract_first_number"	"function"
"1"	"filter_closest_value"	"function"
"1"	"filter_first_diagnosis"	"function"
"1"	"filter_sentence"	"function"
"1"	"filter_str_detect"	"function"
"1"	"filter_virus"	"function"
"1"	"fn_nm"	"character"
"1"	"forest_plot_univariate_hospitalization"	"function"
"1"	"forest_plot_univariate_infection"	"function"
"1"	"forest_plot_univariate_os"	"function"
"1"	"go_live"	"function"
"1"	"grace_period"	"function"
"1"	"head2"	"function"
"1"	"help_info"	"function"
"1"	"i"	"integer"
"1"	"IMPORT.LOOKUP.TABLES"	"character"
"1"	"IMPORT.PUBLIC"	"character"
"1"	"infer_layout"	"function"
"1"	"IPS"	"function"
"1"	"IPSSWM"	"function"
"1"	"is_date_like_name"	"function"
"1"	"is_identifier_like_name"	"function"
"1"	"is_likely_free_text"	"function"
"1"	"is_odd"	"function"
"1"	"JAMA"	"character"
"1"	"JCO"	"character"
"1"	"KM_plot"	"function"
"1"	"KM_plot_3"	"function"
"1"	"LAB.PUBLIC"	"character"
"1"	"LANCET"	"character"
"1"	"likely_date_candidates"	"character"
"1"	"load_all_data"	"function"
"1"	"load_all_variables"	"function"
"1"	"load_ATC_antineoplastics"	"function"
"1"	"load_biochemistry"	"function"
"1"	"load_blood_culture_SP"	"function"
"1"	"load_dalycare_icd10"	"function"
"1"	"load_dataset"	"function"
"1"	"load_datasets_head"	"function"
"1"	"load_npu_common"	"function"
"1"	"load_one_dataset"	"function"
"1"	"load_SKS_antimicrobials"	"function"
"1"	"load_SKS_antineoplastics"	"function"
"1"	"load_SKS_radiotherapy_codes"	"function"
