"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SDS_epikur"	"SDS_epikur"	"aar"	"2009"	"5441"	"5.441"
"SDS_epikur"	"SDS_epikur"	"aar"	"2010"	"5411"	"5.411"
"SDS_epikur"	"SDS_epikur"	"aar"	"2018"	"5330"	"5.33"
"SDS_epikur"	"SDS_epikur"	"aar"	"2014"	"5277"	"5.277"
"SDS_epikur"	"SDS_epikur"	"aar"	"2015"	"5246"	"5.246"
"SDS_epikur"	"SDS_epikur"	"aar"	"2016"	"5242"	"5.242"
"SDS_epikur"	"SDS_epikur"	"aar"	"2011"	"5211"	"5.211"
"SDS_epikur"	"SDS_epikur"	"aar"	"2013"	"5130"	"5.13"
"SDS_epikur"	"SDS_epikur"	"aar"	"2008"	"5120"	"5.12"
"SDS_epikur"	"SDS_epikur"	"aar"	"2012"	"4995"	"4.995"
"SDS_epikur"	"SDS_epikur"	"aar"	"2017"	"4994"	"4.994"
"SDS_epikur"	"SDS_epikur"	"aar"	"2019"	"4780"	"4.78"
"SDS_epikur"	"SDS_epikur"	"aar"	"2007"	"4758"	"4.758"
"SDS_epikur"	"SDS_epikur"	"aar"	"2006"	"4576"	"4.576"
"SDS_epikur"	"SDS_epikur"	"aar"	"2005"	"4251"	"4.251"
"SDS_epikur"	"SDS_epikur"	"aar"	"2020"	"4112"	"4.112"
"SDS_epikur"	"SDS_epikur"	"aar"	"2021"	"4060"	"4.06"
"SDS_epikur"	"SDS_epikur"	"aar"	"2004"	"4048"	"4.048"
"SDS_epikur"	"SDS_epikur"	"aar"	"2022"	"3855"	"3.855"
"SDS_epikur"	"SDS_epikur"	"aar"	"2003"	"3771"	"3.771"
"SDS_epikur"	"SDS_epikur"	"aar"	"2002"	"3416"	"3.416"
"SDS_epikur"	"SDS_epikur"	"aar"	"2023"	"976"	"0.976"
"SDS_epikur"	"SDS_epikur"	"voltypecode"	"DW"	"88520"	"88.522"
"SDS_epikur"	"SDS_epikur"	"voltypecode"	"DWK"	"3609"	"3.609"
"SDS_epikur"	"SDS_epikur"	"voltypecode"	"GP"	"2355"	"2.355"
"SDS_epikur"	"SDS_epikur"	"voltypecode"	"PK"	"1891"	"1.891"
"SDS_epikur"	"SDS_epikur"	"voltypecode"	"DWG"	"1397"	"1.397"
"SDS_epikur"	"SDS_epikur"	"voltypecode"	"DDK"	"1122"	"1.122"
"SDS_epikur"	"SDS_epikur"	"voltypecode"	"ML"	"947"	"0.947"
"SDS_epikur"	"SDS_epikur"	"voltypecode"	"ST"	"133"	"0.133"
"SDS_epikur"	"SDS_epikur"	"voltypecode"	"GA"	"16"	"0.016"
"SDS_epikur"	"SDS_epikur"	"voltypecode"	"L"	"8"	"0.008"
"SDS_epikur"	"SDS_epikur"	"voltypetxt"	"DDD WHO Index"	"88520"	"88.522"
"SDS_epikur"	"SDS_epikur"	"voltypetxt"	"DDD WHO Komb liste"	"3609"	"3.609"
"SDS_epikur"	"SDS_epikur"	"voltypetxt"	"g (præparat)"	"2355"	"2.355"
"SDS_epikur"	"SDS_epikur"	"voltypetxt"	"pakninger"	"1891"	"1.891"
"SDS_epikur"	"SDS_epikur"	"voltypetxt"	"DDD WHO Guidelines"	"1397"	"1.397"
"SDS_epikur"	"SDS_epikur"	"voltypetxt"	"DøgnDosis DK"	"1122"	"1.122"
"SDS_epikur"	"SDS_epikur"	"voltypetxt"	"ml"	"947"	"0.947"
"SDS_epikur"	"SDS_epikur"	"voltypetxt"	"Stk"	"133"	"0.133"
"SDS_epikur"	"SDS_epikur"	"voltypetxt"	"g (aktivt stof)"	"16"	"0.016"
"SDS_epikur"	"SDS_epikur"	"voltypetxt"	"L"	"8"	"0.008"
