"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Oral anvendelse"	"47571"	"47.575"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Intravenøs anvendelse"	"27973"	"27.975"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"OR"	"12191"	"12.192"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Subkutan anvendelse"	"4424"	"4.424"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Til inhalation"	"2291"	"2.291"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"IV"	"2007"	"2.007"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Til anvendelse i mundhulen"	"609"	"0.609"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"SC"	"499"	"0.499"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Okulær anvendelse"	"374"	"0.374"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Kutan anvendelse"	"299"	"0.299"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"IH"	"296"	"0.296"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Rektal anvendelse"	"288"	"0.288"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Hæmodialyse"	"239"	"0.239"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Intramuskulær anvendelse"	"140"	"0.14"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Epidural anvendelse"	"111"	"0.111"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Transdermal anvendelse"	"82"	"0.082"
"SDS_indberetningmedpris"	"SDS_indberetningmedpris"	"c_adm_vej"	"Subkonjunktival anvendelse"	"41"	"0.041"
