"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"klinisk enhed"	"80405"	"80.405"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"billeddiagnostisk enhed"	"11367"	"11.367"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"administrativ enhed"	"2704"	"2.704"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"akutmodtageenhed"	"1951"	"1.951"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"skadestue"	"1838"	"1.838"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"fysioterapi- og ergoterapiklinik"	"450"	"0.45"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"palliativ enhed"	"366"	"0.366"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"fysioterapiklinik"	"315"	"0.315"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"supplerende oplysninger"	"98"	"0.098"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"anden EDI"	"92"	"0.092"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"hospital"	"80"	"0.08"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"speciallægepraksis"	"76"	"0.076"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"intensivenhed"	"57"	"0.057"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"ergoterapiklinik"	"53"	"0.053"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"privat"	"42"	"0.042"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"fertilitetsklinik"	"38"	"0.038"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"forskningsenhed"	"14"	"0.014"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"diætistklinik"	"13"	"0.013"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"anden sundhedsinstitution"	"12"	"0.012"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"operationsgang"	"12"	"0.012"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"serviceenhed"	"11"	"0.011"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"Ukendt"	"4"	"0.004"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"COVID-19-testenhed"	"1"	"0.001"
"SDS_kontakter"	"SDS_kontakter"	"enhedstype_ans"	"almen lægepraksis"	"1"	"0.001"
"SDS_kontakter"	"SDS_kontakter"	"henvisningsaarsag"	"Ukendt"	"100000"	"100"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"hæmatologi"	"33410"	"33.41"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"radiologi"	"9571"	"9.571"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"klinisk onkologi"	"6121"	"6.121"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"intern medicin"	"4529"	"4.529"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"nefrologi"	"4289"	"4.289"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"kardiologi"	"3796"	"3.796"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"klinisk fysiologi og nuklearmedicin"	"3788"	"3.788"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"ortopædisk kirurgi"	"3552"	"3.552"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"oftalmologi"	"2615"	"2.615"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"endokrinologi"	"2465"	"2.465"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"oto-rhino-laryngologi"	"2126"	"2.126"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"reumatologi"	"1952"	"1.952"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"urologi"	"1951"	"1.951"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"lungesygdomme"	"1896"	"1.896"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"kirurgi"	"1839"	"1.839"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"Ukendt"	"1809"	"1.809"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"akutmedicin"	"1795"	"1.795"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"neurologi"	"1724"	"1.724"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"dermato-venerologi"	"1703"	"1.703"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"kirurgisk gastroenterologi"	"1328"	"1.328"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"psykiatri"	"1282"	"1.282"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"anæstesiologi"	"933"	"0.933"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"plastikkirurgi"	"922"	"0.922"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"medicinsk gastroenterologi"	"884"	"0.884"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"gynækologi og obstetrik"	"786"	"0.786"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"geriatri"	"601"	"0.601"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"infektionsmedicin"	"367"	"0.367"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"karkirurgi"	"348"	"0.348"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"almen medicin"	"341"	"0.341"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"tand-, mund- og kæbekirurgi"	"251"	"0.251"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"neurokirurgi"	"235"	"0.235"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"klinisk neurofysiologi"	"212"	"0.212"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"odontologi"	"160"	"0.16"
"SDS_kontakter"	"SDS_kontakter"	"hovedspeciale_ans"	"thoraxkirurgi"	"136"	"0.136"
