"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"Ukendt"	"75645"	"75.645"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"almen medicin"	"6315"	"6.315"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"psykiatri"	"2981"	"2.981"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"odontologi"	"1324"	"1.324"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"intern medicin"	"1155"	"1.155"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"ortopædisk kirurgi"	"1084"	"1.084"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"gynækologi og obstetrik"	"990"	"0.99"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"anæstesiologi"	"841"	"0.841"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"oftalmologi"	"737"	"0.737"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"oto-rhino-laryngologi"	"690"	"0.69"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"kirurgi"	"682"	"0.682"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"pædiatri"	"640"	"0.64"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"neurologi"	"624"	"0.624"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"radiologi"	"494"	"0.494"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"børne- og ungdomspsykiatri"	"435"	"0.435"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"reumatologi"	"434"	"0.434"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"dermato-venerologi"	"421"	"0.421"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"kardiologi"	"367"	"0.367"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"klinisk biokemi"	"352"	"0.352"
"SDS_organisationer"	"SDS_organisationer"	"hovedspeciale"	"plastikkirurgi"	"303"	"0.303"
