"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SDS_pato"	"SDS_pato"	"c_mattype"	"21"	"39316"	"39.316"
"SDS_pato"	"SDS_pato"	"c_mattype"	"11"	"28028"	"28.028"
"SDS_pato"	"SDS_pato"	"c_mattype"	"12"	"13510"	"13.51"
"SDS_pato"	"SDS_pato"	"c_mattype"	"23"	"3746"	"3.746"
"SDS_pato"	"SDS_pato"	"c_mattype"	"22"	"3331"	"3.331"
"SDS_pato"	"SDS_pato"	"c_mattype"	"13"	"3066"	"3.066"
"SDS_pato"	"SDS_pato"	"c_mattype"	"24"	"2993"	"2.993"
"SDS_pato"	"SDS_pato"	"c_mattype"	"43"	"1866"	"1.866"
"SDS_pato"	"SDS_pato"	"c_mattype"	"42"	"1153"	"1.153"
"SDS_pato"	"SDS_pato"	"c_mattype"	"44"	"1066"	"1.066"
"SDS_pato"	"SDS_pato"	"c_mattype"	"45"	"519"	"0.519"
"SDS_pato"	"SDS_pato"	"c_mattype"	"25"	"364"	"0.364"
"SDS_pato"	"SDS_pato"	"c_mattype"	"26"	"284"	"0.284"
"SDS_pato"	"SDS_pato"	"c_mattype"	"14"	"192"	"0.192"
"SDS_pato"	"SDS_pato"	"c_mattype"	"27"	"161"	"0.161"
"SDS_pato"	"SDS_pato"	"c_mattype"	"31"	"129"	"0.129"
"SDS_pato"	"SDS_pato"	"c_mattype"	"52"	"85"	"0.085"
"SDS_pato"	"SDS_pato"	"c_mattype"	"41"	"80"	"0.08"
"SDS_pato"	"SDS_pato"	"c_mattype"	"46"	"38"	"0.038"
"SDS_pato"	"SDS_pato"	"c_mattype"	"33"	"37"	"0.037"
"SDS_pato"	"SDS_pato"	"c_mattype"	"55"	"19"	"0.019"
"SDS_pato"	"SDS_pato"	"c_mattype"	"34"	"8"	"0.008"
"SDS_pato"	"SDS_pato"	"c_mattype"	"32"	"5"	"0.005"
"SDS_pato"	"SDS_pato"	"c_mattype"	"0"	"4"	"0.004"
"SDS_pato"	"SDS_pato"	"k_inst"	"3800C80"	"17872"	"17.872"
"SDS_pato"	"SDS_pato"	"k_inst"	"4202220"	"17505"	"17.505"
"SDS_pato"	"SDS_pato"	"k_inst"	"1301481"	"16165"	"16.165"
"SDS_pato"	"SDS_pato"	"k_inst"	"1516120"	"11757"	"11.757"
"SDS_pato"	"SDS_pato"	"k_inst"	"1330140"	"5266"	"5.266"
"SDS_pato"	"SDS_pato"	"k_inst"	"6620212"	"3815"	"3.815"
"SDS_pato"	"SDS_pato"	"k_inst"	"1309190"	"3211"	"3.211"
"SDS_pato"	"SDS_pato"	"k_inst"	"3800Q80"	"2638"	"2.638"
"SDS_pato"	"SDS_pato"	"k_inst"	"2501140"	"2340"	"2.34"
"SDS_pato"	"SDS_pato"	"k_inst"	"215503"	"1903"	"1.903"
"SDS_pato"	"SDS_pato"	"k_inst"	"6008130"	"1868"	"1.868"
"SDS_pato"	"SDS_pato"	"k_inst"	"8001240"	"1845"	"1.845"
"SDS_pato"	"SDS_pato"	"k_inst"	"6630721"	"1610"	"1.61"
"SDS_pato"	"SDS_pato"	"k_inst"	"5501074"	"1268"	"1.268"
"SDS_pato"	"SDS_pato"	"k_inst"	"2000832"	"1195"	"1.195"
"SDS_pato"	"SDS_pato"	"k_inst"	"7005131"	"1026"	"1.026"
"SDS_pato"	"SDS_pato"	"k_inst"	"5000830"	"968"	"0.968"
"SDS_pato"	"SDS_pato"	"k_inst"	"3500900"	"760"	"0.76"
"SDS_pato"	"SDS_pato"	"k_inst"	"3000951"	"683"	"0.683"
"SDS_pato"	"SDS_pato"	"k_inst"	"3500901"	"653"	"0.653"
"SDS_pato"	"SDS_pato"	"k_inst"	"215317"	"646"	"0.646"
"SDS_pato"	"SDS_pato"	"k_inst"	"7003210"	"550"	"0.55"
"SDS_pato"	"SDS_pato"	"k_inst"	"5001120"	"465"	"0.465"
"SDS_pato"	"SDS_pato"	"k_inst"	"214035"	"394"	"0.394"
"SDS_pato"	"SDS_pato"	"k_inst"	"6501110"	"367"	"0.367"
"SDS_pato"	"SDS_pato"	"k_inst"	"215627"	"325"	"0.325"
"SDS_pato"	"SDS_pato"	"k_inst"	"3501130"	"309"	"0.309"
"SDS_pato"	"SDS_pato"	"k_inst"	"3502120"	"272"	"0.272"
"SDS_pato"	"SDS_pato"	"k_inst"	"2000810"	"265"	"0.265"
"SDS_pato"	"SDS_pato"	"k_inst"	"6650641"	"230"	"0.23"
"SDS_pato"	"SDS_pato"	"k_inst"	"8003140"	"212"	"0.212"
"SDS_pato"	"SDS_pato"	"k_inst"	"1725010"	"188"	"0.188"
"SDS_pato"	"SDS_pato"	"k_inst"	"215775"	"182"	"0.182"
"SDS_pato"	"SDS_pato"	"k_inst"	"7004100"	"172"	"0.172"
"SDS_pato"	"SDS_pato"	"k_inst"	"214116"	"159"	"0.159"
"SDS_pato"	"SDS_pato"	"k_inst"	"4212990"	"157"	"0.157"
"SDS_pato"	"SDS_pato"	"k_inst"	"7601120"	"145"	"0.145"
"SDS_pato"	"SDS_pato"	"k_inst"	"210056"	"124"	"0.124"
"SDS_pato"	"SDS_pato"	"k_inst"	"3800T80"	"121"	"0.121"
"SDS_pato"	"SDS_pato"	"k_inst"	"5501140"	"98"	"0.098"
"SDS_pato"	"SDS_pato"	"k_inst"	"3000950"	"71"	"0.071"
