"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SDS_resultater"	"SDS_resultater"	"indberetningsstatus"	"RAS01"	"98679"	"98.679"
"SDS_resultater"	"SDS_resultater"	"indberetningsstatus"	"RAS00"	"1321"	"1.321"
"SDS_resultater"	"SDS_resultater"	"indberetningstype"	"RAA01"	"96475"	"96.475"
"SDS_resultater"	"SDS_resultater"	"indberetningstype"	"RAA05"	"3031"	"3.031"
"SDS_resultater"	"SDS_resultater"	"indberetningstype"	"RAA08"	"359"	"0.359"
"SDS_resultater"	"SDS_resultater"	"indberetningstype"	"RAA02"	"56"	"0.056"
"SDS_resultater"	"SDS_resultater"	"indberetningstype"	"RAA09"	"33"	"0.033"
"SDS_resultater"	"SDS_resultater"	"indberetningstype"	"RAA03"	"32"	"0.032"
"SDS_resultater"	"SDS_resultater"	"indberetningstype"	"RAA04"	"6"	"0.006"
"SDS_resultater"	"SDS_resultater"	"indberetningstype"	"RAA06"	"5"	"0.005"
"SDS_resultater"	"SDS_resultater"	"indberetningstype"	"RAA07"	"3"	"0.003"
"SDS_resultater"	"SDS_resultater"	"lprindberetningssystem"	"LPR3"	"100000"	"100"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA01"	"41703"	"41.703"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA02"	"22412"	"22.412"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA03"	"18697"	"18.697"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA07"	"4826"	"4.826"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA08"	"3752"	"3.752"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA04"	"1702"	"1.702"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA05"	"1692"	"1.692"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA06"	"1691"	"1.691"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA60"	"733"	"0.733"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA61"	"733"	"0.733"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA62"	"733"	"0.733"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA63"	"730"	"0.73"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDB02"	"63"	"0.063"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDB05"	"60"	"0.06"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDB06"	"60"	"0.06"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDB07"	"56"	"0.056"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDB03"	"53"	"0.053"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDB09"	"40"	"0.04"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA64"	"37"	"0.037"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA65"	"37"	"0.037"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA85"	"33"	"0.033"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA76"	"19"	"0.019"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDB04"	"17"	"0.017"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA20"	"16"	"0.016"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDB08"	"10"	"0.01"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA22"	"8"	"0.008"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA23"	"8"	"0.008"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA24"	"8"	"0.008"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA25"	"8"	"0.008"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA26"	"8"	"0.008"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA27"	"8"	"0.008"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA80"	"5"	"0.005"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA67"	"3"	"0.003"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA71"	"3"	"0.003"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA31"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA32"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA33"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA34"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA35"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA36"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA37"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA38"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA39"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA40"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA41"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA46"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA47"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA48"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA49"	"2"	"0.002"
"SDS_resultater"	"SDS_resultater"	"resultattype"	"RDA66"	"1"	"0.001"
"SDS_resultater"	"SDS_resultater"	"triggertype"	"Diagnose"	"96569"	"96.569"
"SDS_resultater"	"SDS_resultater"	"triggertype"	"Kontaktårsag"	"3031"	"3.031"
"SDS_resultater"	"SDS_resultater"	"triggertype"	"Procedure"	"400"	"0.4"
