"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_oprart"	"+"	"99999"	"100"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"4202"	"18900"	"18.9"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"3800"	"11610"	"11.61"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"1301"	"11413"	"11.413"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"6620"	"7358"	"7.358"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"8001"	"7220"	"7.22"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"1516"	"6204"	"6.204"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"1502"	"4755"	"4.755"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"1309"	"3976"	"3.976"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"2000"	"3783"	"3.783"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"1330"	"3009"	"3.009"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"1501"	"2439"	"2.439"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"6650"	"2259"	"2.259"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"6630"	"1762"	"1.762"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"5000"	"1731"	"1.731"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"7005"	"1359"	"1.359"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"1401"	"1176"	"1.176"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"6006"	"1069"	"1.069"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"3000"	"929"	"0.929"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"5001"	"763"	"0.763"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"7003"	"698"	"0.698"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"7004"	"632"	"0.632"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"8003"	"595"	"0.595"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"7601"	"571"	"0.571"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"6008"	"560"	"0.56"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"7603"	"540"	"0.54"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"3500"	"533"	"0.533"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"2502"	"515"	"0.515"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"1351"	"500"	"0.5"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"2501"	"469"	"0.469"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"5501"	"404"	"0.404"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"4001"	"333"	"0.333"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"4212"	"307"	"0.307"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"6007"	"268"	"0.268"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"7026"	"253"	"0.253"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"7002"	"210"	"0.21"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"5004"	"169"	"0.169"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"8040"	"160"	"0.16"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"6014"	"146"	"0.146"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"6501"	"145"	"0.145"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"5007"	"79"	"0.079"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"5002"	"59"	"0.059"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"8005"	"45"	"0.045"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"6004"	"37"	"0.037"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"6003"	"16"	"0.016"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"6502"	"9"	"0.009"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"7009"	"8"	"0.008"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"6504"	"5"	"0.005"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"5003"	"4"	"0.004"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"1531"	"3"	"0.003"
"SDS_t_sksopr"	"SDS_t_sksopr"	"c_osgh"	"1523"	"2"	"0.002"
"SDS_t_sksopr"	"SDS_t_sksopr"	"v_ominut"	"0"	"24224"	"24.224"
"SDS_t_sksopr"	"SDS_t_sksopr"	"v_ominut"	"30"	"15644"	"15.644"
