"source_name"	"object_name"	"column_name"	"value"	"n_rows"	"pct_non_missing"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"3800"	"14411"	"14.411"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"4202"	"14391"	"14.391"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"1301"	"11942"	"11.942"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"6620"	"11002"	"11.002"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"1516"	"10478"	"10.478"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"8001"	"7223"	"7.223"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"5000"	"4685"	"4.685"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"1309"	"3870"	"3.87"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"6650"	"2179"	"2.179"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"2000"	"2138"	"2.138"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"6630"	"2135"	"2.135"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"1501"	"1829"	"1.829"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"1330"	"1716"	"1.716"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"6008"	"1636"	"1.636"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"1502"	"1513"	"1.513"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"5501"	"1257"	"1.257"
"SDS_t_udtilsgh"	"SDS_t_udtilsgh"	"c_udtilsgh"	"6007"	"1144"	"1.144"
