"code"	"n"
"BWHA1"	"383309"
"BOHJ11"	"360819"
"BWHA402"	"256460"
"BOHJ10"	"168138"
"BWHB40"	"166940"
"BWHA2"	"163461"
"BWGC1"	"156873"
"BWGC4A"	"136377"
"BOHE20"	"131880"
"BOHA02"	"93861"
"BWHA115"	"90361"
"BWHB40A"	"88513"
"BWHB82"	"86037"
"BWGC5"	"82456"
"BOHE10"	"70553"
"BWHA177"	"68244"
"BWHA119"	"66036"
"BOHA0"	"65745"
"BWHB40C"	"57912"
"BWHC"	"56381"
"BWHB81"	"52758"
"BWHA105"	"47078"
"BOHJ19H8"	"45620"
"BOHE20A"	"40402"
"BWHA30"	"40089"
"BWGC5A"	"38284"
"BOHJ10A"	"34458"
"BWHA432"	"33302"
"BWHA42"	"32630"
"BOHJ20"	"30280"
"BOHJ21"	"25157"
"BOHJ1"	"23611"
"BWHA153"	"22162"
"BWHA111"	"21850"
"BWHA221"	"18636"
"BWHA167"	"18596"
"BWHA427"	"18034"
"BOHJ18A1"	"17947"
"BWHA256"	"17868"
"BOHJ18A3"	"16102"
"BWHA401"	"15539"
"BWHB86"	"14038"
"BWHB42"	"13874"
"BWHA159"	"13830"
"BWHA181"	"13790"
"BWHA102"	"12986"
"BOHJ22A"	"12542"
"BWHC12"	"12118"
"BOHJ18A2"	"11875"
"BWHA4"	"11241"
