"code"	"description"	"disease"	"exact_rows"	"prefix_rows"	"exact_patients"	"prefix_patients"	"source"
"BWHA"	"Antineoplastic chemotherapy"	"General"	"2939"	"1606196"	""	""	"SDS_t_sksube"
"BWGX"	"Cytotoxic treatment (general)"	"General"	"0"	"0"	""	""	"SDS_t_sksube"
"BWGC"	"Radiotherapy"	"General"	"6"	"448578"	""	""	"SDS_t_sksube"
"BOHJ1"	"Immunotherapy"	"General"	"23611"	"765646"	""	""	"SDS_t_sksube"
"BOHJ19"	"Specific immunotherapy"	"General"	"4817"	"78306"	""	""	"SDS_t_sksube"
"BWHA154"	"Lenalidomide"	"MM"	"8843"	"8843"	""	""	"SDS_t_sksube"
"BWHA105"	"Thalidomide"	"MM"	"47078"	"47078"	""	""	"SDS_t_sksube"
"BWHA102"	"Melphalan"	"MM"	"12986"	"12986"	""	""	"SDS_t_sksube"
"BWHB81"	"Bortezomib"	"MM"	"52758"	"52758"	""	""	"SDS_t_sksube"
"BWHB82"	"Carfilzomib"	"MM"	"86037"	"86037"	""	""	"SDS_t_sksube"
"BWHB86"	"Ixazomib"	"MM"	"14038"	"14038"	""	""	"SDS_t_sksube"
"BWHA402"	"Cyclophosphamide"	"MM"	"256460"	"256460"	""	""	"SDS_t_sksube"
"BWHA432"	"Bendamustine"	"MM"	"33302"	"33302"	""	""	"SDS_t_sksube"
"BWHA439"	"Pomalidomide"	"MM"	"1970"	"1970"	""	""	"SDS_t_sksube"
"BOHJ19H8"	"Daratumumab"	"MM"	"45620"	"45620"	""	""	"SDS_t_sksube"
"BOHJ19H9"	"Isatuximab"	"MM"	"4088"	"4088"	""	""	"SDS_t_sksube"
"BWHA445"	"Elotuzumab"	"MM"	"16"	"16"	""	""	"SDS_t_sksube"
"BWHA169"	"Ibrutinib"	"CLL"	"3018"	"3018"	""	""	"SDS_t_sksube"
"BWHA170"	"Venetoclax"	"CLL"	"64"	"64"	""	""	"SDS_t_sksube"
"BWHA148"	"Idelalisib"	"CLL"	"0"	"0"	""	""	"SDS_t_sksube"
"BOHJ19A3"	"Obinutuzumab"	"CLL"	"0"	"0"	""	""	"SDS_t_sksube"
"BOHJ19A1"	"Rituximab"	"CLL/Lymphoma"	"3298"	"3298"	""	""	"SDS_t_sksube"
"BWHA14"	"Doxorubicin"	"Lymphoma"	"0"	"3158"	""	""	"SDS_t_sksube"
"BWHA19"	"Vincristine"	"Lymphoma"	"0"	"0"	""	""	"SDS_t_sksube"
"BWHA100"	"Etoposide"	"Lymphoma"	"0"	"0"	""	""	"SDS_t_sksube"
"KMJA00"	"Autologous SCT"	"MM/Lymphoma"	"0"	"0"	""	""	"SDS_t_sksube"
"KMJA10"	"Allogeneic SCT"	"CLL/Lymphoma"	"0"	"0"	""	""	"SDS_t_sksube"
