"atc"	"n"
"N02BE01"	"1494208"
"J01CR05"	"830244"
"A12AX"	"699132"
"V07AB"	"643244"
"J05AB01"	"586278"
"A12BA01"	"491488"
"N02AA01"	"481616"
"C03CA01"	"475243"
"B05BB01"	"453806"
"A02BC02"	"449751"
"N02AA05"	"303319"
"B01AB04"	"268149"
"H02AB06"	"249980"
"A06AD65"	"249741"
"J01EE01"	"221501"
"M04AA01"	"218714"
"C07AB02"	"217904"
"B01AC06"	"213760"
"H02AB02"	"190738"
"A04AA01"	"178564"
"A10AB05"	"166397"
"J01DH02"	"164556"
"A11EA"	"161128"
"J01CR02"	"156985"
"A07AA02"	"128241"
"L04AX04"	"126000"
"B01AF02"	"120018"
"C10AA05"	"114752"
"C08CA01"	"108454"
"N03AX12"	"106893"
"J01DC02"	"106544"
"J01CE01"	"105823"
"A03FA01"	"105334"
"R06AE07"	"102648"
"N05CF01"	"102333"
"B01AB10"	"97518"
"A06AB08"	"97069"
"R03AL02"	"94404"
"J01MA02"	"89131"
"A02AA04"	"89003"
"J02AC01"	"88805"
"C09CA01"	"84030"
"A10BA02"	"82807"
"A12CC30"	"81045"
"A11AA03"	"79330"
"A06AB02"	"78129"
"J05AB11"	"77802"
"J01XD01"	"77181"
"R03AL01"	"76431"
"B03AA02"	"75255"
